Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,9.4345,9.623,9.4345,9.62,456929,0
2010-01-05,9.613,9.706,9.555,9.623,363612,0
2010-01-06,9.637,9.76,9.572,9.66,323716,0
2010-01-07,9.582,9.702,9.562,9.572,354995,0
2010-01-08,9.637,9.637,9.4295,9.4295,526065,0
2010-01-11,9.4538,9.502,9.2865,9.3275,438503,0
2010-01-12,9.3108,9.3108,9.1458,9.2574,369697,0
2010-01-13,9.3411,9.4698,9.2515,9.4698,332680,0
2010-01-14,9.3822,9.506,9.3822,9.4413,230917,0
2010-01-15,9.3959,9.4295,9.3664,9.4215,351782,0
2010-01-19,9.3822,9.506,9.3822,9.4837,270810,0
2010-01-20,9.4638,9.4698,9.3743,9.4018,238182,0
2010-01-21,9.4479,9.4578,9.2239,9.2239,250015,0
2010-01-22,9.1688,9.2171,8.991,8.9978,309855,0
2010-01-25,9.1757,9.1794,8.98,8.9978,332507,0
2010-01-26,8.9731,9.0986,8.9389,9.0396,336061,0
2010-01-27,9.0631,9.0631,8.6196,8.8443,457437,0
2010-01-28,8.8571,8.8978,8.6434,8.7963,278756,0
2010-01-29,8.8311,8.8443,8.7259,8.7322,225674,0
2010-02-01,8.8259,8.8608,8.7259,8.8024,313576,0
2010-02-02,8.8726,9.0517,8.7898,8.991,287714,0
2010-02-03,8.991,9.092,8.8792,9.0698,243251,0
2010-02-04,9.0279,9.0279,8.775,8.7898,313576,0
2010-02-05,8.7552,8.8024,8.3652,8.5364,710830,0
2010-02-08,8.5127,8.524,8.2999,8.393,457264,0
2010-02-09,8.4539,8.6305,8.4539,8.5898,327099,0
2010-02-10,8.5825,8.6853,8.5018,8.6652,358203,0
2010-02-11,8.6544,8.7012,8.5542,8.6908,370885,0
2010-02-12,8.6376,8.6376,8.4708,8.5969,294639,0
2010-02-16,8.5898,8.8443,8.5898,8.7369,283488,0
2010-02-17,8.8024,8.8145,8.7322,8.7552,226015,0
2010-02-18,8.7831,8.8726,8.7552,8.8386,289065,0
2010-02-19,8.8443,8.98,8.8145,8.98,370885,0
2010-02-22,9.0517,9.0517,8.8978,8.9086,282641,0
2010-02-23,8.9318,9.0279,8.8311,8.8311,348063,0
2010-02-24,8.8259,8.9029,8.7552,8.8386,180538,0
2010-02-25,8.7831,8.8792,8.624,8.867,186794,0
2010-02-26,8.9318,8.9318,8.6069,8.7012,770843,0
2010-03-01,8.762,8.9318,8.762,8.8911,550745,0
2010-03-02,8.9571,9.0158,8.9205,9.0046,335211,0
2010-03-03,8.9389,8.9389,8.775,8.775,385251,0
2010-03-04,8.8311,8.8504,8.7066,8.7831,720467,0
2010-03-05,8.8911,8.8911,8.8191,8.8726,274022,0
2010-03-08,8.9271,8.9512,8.8911,8.9086,236324,0
2010-03-09,8.8386,8.9318,8.8259,8.9318,236494,0
2010-03-10,8.8726,8.9731,8.8726,8.9731,297181,0
2010-03-11,9.0279,9.045,8.9271,9.0396,391675,0
2010-03-12,9.0862,9.1043,9.0046,9.1043,354995,0
2010-03-15,9.1101,9.1285,9.0215,9.1043,682768,0
2010-03-16,9.1688,9.1688,9.0396,9.1101,329128,0
2010-03-17,9.1331,9.1524,9.0215,9.045,1096253,0
2010-03-18,9.0158,9.0814,8.9512,8.98,695783,0
2010-03-19,8.991,9.0215,8.8443,8.8978,603314,0
2010-03-22,8.8024,8.8792,8.7676,8.8102,455231,0
2010-03-23,8.7963,8.9086,8.7963,8.9086,484819,0
2010-03-24,8.8571,8.8792,8.8311,8.8504,475183,0
2010-03-25,8.8978,8.8978,8.762,8.762,456587,0
2010-03-26,8.7831,8.8191,8.7322,8.7487,347215,0
2010-03-29,8.7424,8.8191,8.7424,8.8024,392857,0
2010-03-30,8.8102,8.8504,8.762,8.8102,378658,0
2010-03-31,8.7424,8.8191,8.7424,8.8102,253397,0
2010-04-01,8.8191,8.9029,8.8191,8.8911,456081,0
2010-04-05,8.9153,9.008,8.9153,8.98,331664,0
2010-04-06,8.98,9.0517,8.9571,9.0279,346707,0
2010-04-07,9.0046,9.0279,8.9318,8.9731,390831,0
2010-04-08,8.9205,8.9867,8.8911,8.98,373250,0
2010-04-09,8.9978,9.0517,8.9205,9.0215,296674,0
2010-04-12,9.0338,9.0748,9.0158,9.0567,332680,0
2010-04-13,9.0279,9.0567,8.991,9.0396,443232,0
2010-04-14,9.0338,9.0567,8.991,9.0517,585569,0
2010-04-15,9.0338,9.0748,8.991,9.0338,381025,0
2010-04-16,9.0279,9.0279,8.8191,8.9571,589290,0
2010-04-19,8.9271,8.9436,8.7963,8.8792,393871,0
2010-04-20,8.962,9.0215,8.8311,8.9867,394046,0
2010-04-21,8.8854,9.0517,8.8726,8.9867,316445,0
2010-04-22,8.8854,9.0338,8.8854,9.0338,311547,0
2010-04-23,9.0242,9.0242,8.9464,8.995,428864,0
2010-04-26,8.9678,9.0215,8.9571,8.991,307490,0
2010-04-27,8.962,8.9978,8.7831,8.7963,346207,0
2010-04-28,8.8191,8.8191,8.7066,8.7322,621915,0
2010-04-29,8.7369,8.7788,8.6951,8.7487,451350,0
2010-04-30,8.7194,8.8024,8.6951,8.7194,361080,0
2010-05-03,8.7322,8.867,8.7322,8.8024,291095,0
2010-05-04,8.7194,8.7369,8.5772,8.6376,514403,0
2010-05-05,8.4345,8.5178,8.3469,8.4238,544999,0
2010-05-06,8.3062,8.3162,7.5131,7.9212,1481161,0
2010-05-07,7.9091,7.9091,7.4471,7.6904,931095,0
2010-05-10,8.1754,8.229,7.8796,8.1095,737035,0
2010-05-11,7.927,8.2697,7.927,8.1344,391675,0
2010-05-12,8.1819,8.3237,8.1634,8.2999,344854,0
2010-05-13,8.2999,8.3112,8.1933,8.2349,268612,0
2010-05-14,8.1275,8.2102,7.927,8.0637,527250,0
2010-05-17,8.027,8.0454,7.785,7.8909,434276,0
2010-05-18,7.9155,7.9804,7.7024,7.8386,395901,0
2010-05-19,7.7377,7.9032,7.5479,7.785,375616,0
2010-05-20,7.6552,7.6552,7.2998,7.3346,705082,0
2010-05-21,7.2463,7.4534,7.1697,7.3951,577963,0
2010-05-24,7.3773,7.5423,7.3346,7.4471,377305,0
2010-05-25,7.2403,7.3715,7.1282,7.3588,489042,0
2010-05-26,7.3884,7.4657,7.2521,7.2998,446107,0
2010-05-27,7.5423,7.6664,7.4471,7.6664,738215,0
2010-05-28,7.6961,7.6961,7.5479,7.5833,1078497,0
2010-06-01,7.5194,7.6014,7.3951,7.5669,792142,0
2010-06-02,7.4888,7.6191,7.4363,7.6191,509500,0
2010-06-03,7.6489,7.7024,7.6139,7.6904,304447,0
2010-06-04,7.6432,7.6432,7.4062,7.4247,243420,0
2010-06-07,7.4419,7.5069,7.3055,7.3346,448308,0
2010-06-08,7.3346,7.3884,7.2585,7.3884,391000,0
2010-06-09,7.3773,7.4951,7.3346,7.3773,407566,0
2010-06-10,7.5006,7.6311,7.4247,7.6311,302589,0
2010-06-11,7.5769,7.6904,7.5194,7.6904,263370,0
2010-06-14,7.7146,7.7963,7.7024,7.7498,306303,0
2010-06-15,7.8093,7.9212,7.7904,7.9032,517785,0
2010-06-16,7.8909,7.9911,7.868,7.9911,422614,0
2010-06-17,8.0104,8.0168,7.9091,7.9978,322371,0
2010-06-18,7.986,8.0637,7.986,7.9978,376120,0
2010-06-21,8.0637,8.0637,7.8093,7.868,637971,0
