Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.726,16.83,16.333,16.41,250436,0
2010-01-05,16.444,16.534,16.151,16.333,139083,0
2010-01-06,16.333,16.498,16.192,16.444,156676,0
2010-01-07,16.489,16.489,16.133,16.41,53320,0
2010-01-08,16.297,16.489,16.192,16.247,51067,0
2010-01-11,16.253,16.253,15.837,15.888,114757,0
2010-01-12,15.764,15.8,15.365,15.477,109899,0
2010-01-13,15.477,15.67,15.452,15.591,96681,0
2010-01-14,15.636,15.8,15.504,15.521,111694,0
2010-01-15,15.609,15.67,15.374,15.512,171764,0
2010-01-19,15.495,15.495,15.121,15.381,104966,0
2010-01-20,15.356,15.399,15.007,15.225,165445,0
2010-01-21,15.278,15.374,14.998,15.121,165547,0
2010-01-22,15.121,15.687,14.981,15.47,207027,0
2010-01-25,15.512,15.591,14.955,15.059,83796,0
2010-01-26,14.981,15.025,14.397,14.414,108944,0
2010-01-27,14.352,15.042,14.318,15.025,72146,0
2010-01-28,15.094,15.121,14.511,14.546,60720,0
2010-01-29,14.622,15.121,14.598,14.998,194784,0
2010-02-01,14.973,15.094,14.484,14.63,165031,0
2010-02-02,15.512,15.95,15.025,15.645,258731,0
2010-02-03,16.272,17.561,16.019,17.196,545506,0
2010-02-04,17.161,17.388,16.796,17.285,469177,0
2010-02-05,17.257,17.257,16.838,17.196,292804,0
2010-02-08,17.187,17.248,17.013,17.109,251201,0
2010-02-09,17.475,17.667,17.213,17.501,319429,0
2010-02-10,17.459,17.955,17.459,17.9,268118,0
2010-02-11,17.763,17.964,17.641,17.964,170928,0
2010-02-12,17.876,19.55,17.841,19.507,542346,0
2010-02-16,19.603,19.724,19.27,19.403,535470,0
2010-02-17,19.498,19.855,19.27,19.846,308266,0
2010-02-18,19.882,20.256,19.7,20.169,219138,0
2010-02-19,20.178,20.247,19.76,20.141,177782,0
2010-02-22,20.247,20.378,20.108,20.335,119142,0
2010-02-23,20.335,20.395,19.846,20.387,229306,0
2010-02-24,20.37,20.657,20.205,20.58,363400,0
2010-02-25,20.378,20.614,20.215,20.588,144578,0
2010-02-26,20.536,20.71,20.344,20.631,146857,0
2010-03-01,20.764,21.13,20.536,21.085,275404,0
2010-03-02,20.989,21.085,20.657,20.885,228343,0
2010-03-03,20.813,21.164,20.701,20.728,236433,0
2010-03-04,20.797,20.903,20.666,20.701,159600,0
