Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.2645,4.2645,4.1393,4.2229,465533,0
2010-01-05,4.3341,4.348,4.2436,4.348,448618,0
2010-01-06,4.3896,4.3896,4.3133,4.348,220902,0
2010-01-07,4.3691,4.4036,4.2229,4.3691,271580,0
2010-01-08,4.3829,4.4869,4.3691,4.4524,481527,0
2010-01-11,4.4942,4.6749,4.4383,4.4942,652437,0
2010-01-12,4.4869,4.5496,4.3829,4.4245,436288,0
2010-01-13,4.4524,4.4524,4.2369,4.2713,599748,0
2010-01-14,4.3061,4.348,4.174,4.2992,367196,0
2010-01-15,4.2713,4.3409,4.2087,4.2577,344129,0
2010-01-19,4.2924,4.3341,4.2436,4.2713,372335,0
2010-01-20,4.2577,4.2992,4.174,4.2369,449247,0
2010-01-21,4.2505,4.2645,4.1045,4.1463,393964,0
2010-01-22,4.1532,4.1881,4.0905,4.1674,361627,0
2010-01-25,4.2785,4.2785,4.0694,4.1463,159522,0
2010-01-26,4.1674,4.174,4.0694,4.0767,295529,0
2010-01-27,4.0694,4.1045,3.8958,3.9515,521686,0
2010-01-28,3.9584,3.9653,3.8262,3.8262,475370,0
2010-01-29,3.8747,4.1116,3.8262,4.1116,467860,0
2010-02-01,4.1253,4.1321,4.0002,4.0281,183601,0
2010-02-02,4.0488,4.1184,4.0418,4.0628,153244,0
2010-02-03,4.0905,4.1881,4.0767,4.0974,131234,0
2010-02-04,4.0974,4.1045,3.9862,4.0002,168955,0
2010-02-05,3.9653,3.9932,3.8333,3.9305,357469,0
2010-02-08,3.9515,3.9653,3.9376,3.9515,90275,0
2010-02-09,3.9584,3.9653,3.9095,3.9515,153425,0
2010-02-10,3.9653,4.0348,3.9442,4.0071,216382,0
2010-02-11,4.0209,4.0628,3.9932,4.0628,148791,0
2010-02-12,4.0418,4.1045,4.0418,4.1045,107242,0
2010-02-16,4.1602,4.174,4.1045,4.174,303609,0
2010-02-17,4.1948,4.2785,4.174,4.2713,167019,0
2010-02-18,4.2785,4.2785,4.1948,4.2505,280554,0
2010-02-19,4.2229,4.2505,4.2157,4.2436,132284,0
2010-02-22,4.2577,4.2785,4.2436,4.2785,191911,0
2010-02-23,4.2505,4.2785,4.2505,4.2785,128660,0
2010-02-24,4.2785,4.2785,4.2019,4.2229,213792,0
2010-02-25,4.2229,4.2785,4.181,4.2785,176721,0
2010-02-26,4.2785,4.2785,4.2087,4.2087,118717,0
2010-03-01,4.2087,4.2369,4.174,4.1948,214199,0
2010-03-02,4.2019,4.2436,4.174,4.2436,184023,0
2010-03-03,4.2297,4.2713,4.2019,4.2577,135920,0
2010-03-04,4.2645,4.2645,4.2087,4.2369,97803,0
2010-03-05,4.2369,4.2577,4.1184,4.2505,278457,0
2010-03-08,4.2297,4.2505,4.181,4.2019,207793,0
2010-03-09,4.2087,4.2505,4.181,4.2505,274146,0
2010-03-10,4.2645,4.2785,4.2577,4.2785,238471,0
2010-03-11,4.2713,4.32,4.2087,4.32,246099,0
2010-03-12,4.348,4.3549,4.2924,4.348,285355,0
2010-03-15,4.3549,4.3691,4.348,4.3549,220057,0
2010-03-16,4.3619,4.3755,4.32,4.3619,313545,0
2010-03-17,4.0418,4.0418,3.1933,3.694,2869138,0
2010-03-18,3.6594,3.7218,3.6523,3.6732,502185,0
2010-03-19,3.6872,3.701,3.5132,3.5969,698947,0
2010-03-22,3.534,3.5969,3.4019,3.4574,954061,0
2010-03-23,3.4574,3.5409,3.4158,3.5269,442098,0
2010-03-24,3.4992,3.5409,3.4365,3.4574,408604,0
2010-03-25,3.4574,3.5409,3.4158,3.4226,413934,0
2010-03-26,3.4299,3.4783,3.4299,3.4646,223683,0
2010-03-29,3.4783,3.555,3.4505,3.534,240486,0
2010-03-30,3.5202,3.5617,3.4854,3.534,171143,0
2010-03-31,3.5409,3.6035,3.5132,3.5202,227322,0
2010-04-01,3.555,3.6104,3.4854,3.534,180289,0
2010-04-05,3.5617,3.5828,3.5061,3.5061,259434,0
2010-04-06,3.5202,3.6104,3.5061,3.5969,237835,0
2010-04-07,3.5969,3.68,3.5969,3.6594,256119,0
2010-04-08,3.6244,3.6872,3.5617,3.6453,239981,0
2010-04-09,3.6383,3.6523,3.555,3.555,243901,0
2010-04-12,3.5755,3.6175,3.5132,3.555,196387,0
2010-04-13,3.5617,3.5828,3.5617,3.5688,107945,0
2010-04-14,3.5482,3.6453,3.5482,3.6314,214280,0
2010-04-15,3.6383,3.6594,3.6383,3.6453,202241,0
2010-04-16,3.6523,3.6732,3.5828,3.6175,172172,0
2010-04-19,3.5896,3.6383,3.5828,3.6383,123803,0
2010-04-20,3.6314,3.6314,3.5755,3.5969,93578,0
2010-04-21,3.5969,3.6244,3.5828,3.5828,135263,0
2010-04-22,3.5828,3.6383,3.555,3.6104,148703,0
2010-04-23,3.6012,3.6366,3.5731,3.6154,135177,0
2010-04-26,3.6244,3.6244,3.5896,3.5969,138179,0
2010-04-27,3.5828,3.6035,3.5409,3.5409,139136,0
