Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.341,13.422,13.129,13.348,53587,0
2010-01-05,13.37,13.422,12.523,12.679,60749,0
2010-01-06,12.702,13.01,12.558,12.618,69990,0
2010-01-07,12.672,12.948,12.542,12.874,37733,0
2010-01-08,12.8,13.078,12.558,12.912,45717,0
2010-01-11,13.003,13.078,12.558,12.664,30361,0
2010-01-12,12.594,12.836,12.529,12.687,41206,0
2010-01-13,12.76,12.925,12.648,12.896,40613,0
2010-01-14,12.905,13.234,12.768,13.175,60723,0
2010-01-15,13.219,13.273,13.1,13.197,60751,0
2010-01-19,13.273,13.551,13.159,13.521,62588,0
2010-01-20,13.363,13.582,13.159,13.378,34072,0
2010-01-21,13.461,13.602,13.159,13.205,60835,0
2010-01-22,13.234,13.431,12.836,13.197,54029,0
2010-01-25,13.28,13.469,13.114,13.386,34034,0
2010-01-26,13.301,13.386,13.175,13.211,37179,0
2010-01-27,13.166,13.469,13.166,13.445,30632,0
2010-01-28,13.504,13.535,13.137,13.166,39701,0
2010-01-29,13.182,13.386,13.144,13.219,87705,0
2010-02-01,13.243,13.273,13.175,13.211,24263,0
2010-02-02,13.182,13.205,12.948,13.159,47942,0
2010-02-03,13.1,13.219,13.01,13.159,54317,0
2010-02-04,13.1,13.1,12.514,12.523,45830,0
2010-02-05,12.679,12.836,12.529,12.736,41829,0
2010-02-08,12.744,12.814,12.594,12.594,39557,0
2010-02-09,12.717,12.965,12.656,12.912,40313,0
2010-02-10,12.836,12.912,12.558,12.574,41766,0
2010-02-11,12.536,13.023,12.536,12.995,35562,0
2010-02-12,12.905,13.309,12.905,13.273,29971,0
2010-02-16,13.356,13.497,13.273,13.431,21197,0
2010-02-17,13.484,13.484,13.093,13.393,22229,0
2010-02-18,13.37,13.461,13.016,13.324,12523,0
2010-02-19,13.356,13.633,13.356,13.529,38422,0
2010-02-22,13.543,13.618,13.332,13.504,23082,0
2010-02-23,13.489,13.587,13.4,13.573,24514,0
2010-02-24,13.4,13.889,13.4,13.806,27188,0
2010-02-25,13.707,13.707,13.273,13.414,20857,0
2010-02-26,13.445,13.566,13.029,13.062,55313,0
2010-03-01,13.151,13.979,13.093,13.919,37500,0
2010-03-02,13.957,14.348,13.957,14.34,44266,0
2010-03-03,14.392,14.445,13.859,14.181,23339,0
2010-03-04,14.204,14.309,14.13,14.295,13885,0
2010-03-05,14.273,14.724,14.16,14.724,40068,0
2010-03-08,14.656,14.828,13.793,14.385,79143,0
2010-03-09,14.377,14.505,14.173,14.309,34934,0
2010-03-10,14.273,14.461,14.1,14.423,23313,0
2010-03-11,14.325,14.593,14.325,14.593,23745,0
2010-03-12,14.619,14.768,14.251,14.745,31425,0
2010-03-15,14.671,14.762,14.551,14.635,9506,0
2010-03-16,14.574,14.574,14.348,14.521,8133,0
2010-03-17,14.694,14.8,14.567,14.8,19741,0
2010-03-18,14.333,14.754,14.287,14.309,18240,0
2010-03-19,14.392,14.792,14.01,14.738,108268,0
2010-03-22,14.656,14.963,14.356,14.963,30075,0
2010-03-23,14.928,14.928,14.408,14.783,20371,0
2010-03-24,14.716,14.807,14.37,14.445,20989,0
2010-03-25,14.567,14.656,14.114,14.16,22135,0
2010-03-26,14.244,14.244,14.024,14.173,16527,0
2010-03-29,14.287,14.34,13.633,14.287,22455,0
2010-03-30,14.28,14.521,13.972,14.483,20802,0
2010-03-31,14.356,14.73,13.903,14.054,39348,0
2010-04-01,14.221,14.221,13.671,13.806,22542,0
2010-04-05,13.821,14.807,13.806,14.807,36729,0
2010-04-06,14.656,14.836,14.356,14.836,17203,0
2010-04-07,14.754,14.865,14.656,14.865,31185,0
2010-04-08,14.762,14.881,14.685,14.821,16351,0
2010-04-09,14.776,14.865,14.408,14.521,17962,0
2010-04-12,14.635,14.648,14.13,14.153,19627,0
2010-04-13,14.153,14.438,14.153,14.34,15321,0
2010-04-14,14.363,14.933,14.363,14.933,32767,0
2010-04-15,14.928,15.032,14.641,14.933,17745,0
2010-04-16,14.933,15.174,14.768,15.084,25902,0
2010-04-19,14.972,15.032,14.745,14.807,18659,0
2010-04-20,14.905,15.22,14.905,15.174,32131,0
2010-04-21,15.107,15.244,15.107,15.205,7761,0
2010-04-22,15.04,15.475,14.792,15.377,18232,0
2010-04-23,15.441,16.193,15.253,16.193,32084,0
2010-04-26,16.131,16.44,15.361,15.771,44424,0
2010-04-27,15.612,15.904,15.22,15.294,27217,0
2010-04-28,15.361,15.558,14.942,15.009,32070,0
2010-04-29,15.166,15.771,14.664,15.506,61785,0
2010-04-30,15.515,15.709,14.635,14.716,45232,0
2010-05-03,14.845,15.294,14.716,15.107,44327,0
2010-05-04,14.815,14.98,14.589,14.745,44936,0
2010-05-05,14.611,15.04,14.611,14.685,37946,0
2010-05-06,14.551,15.228,14.1,14.1,40910,0
2010-05-07,13.972,15.047,13.777,13.777,58403,0
2010-05-10,14.544,15.174,14.244,15.025,77205,0
2010-05-11,14.783,15.116,14.551,14.859,64909,0
2010-05-12,15.189,15.189,14.648,15.062,61165,0
2010-05-13,14.963,15.056,14.309,15.032,26041,0
2010-05-14,14.865,14.865,14.593,14.724,21963,0
2010-05-17,14.865,15.122,14.865,15.04,16969,0
2010-05-18,15.152,15.152,14.28,14.491,27242,0
2010-05-19,14.415,14.619,14.197,14.408,37517,0
2010-05-20,14.062,14.377,13.768,13.777,48725,0
2010-05-21,13.602,14.348,13.422,13.829,76890,0
2010-05-24,13.859,14.01,13.234,13.356,22017,0
2010-05-25,13.166,13.851,13.1,13.461,37950,0
2010-05-26,13.535,14.309,13.497,13.671,62025,0
2010-05-27,14.01,14.828,13.348,14.821,56509,0
2010-05-28,14.73,14.783,14.257,14.483,38719,0
2010-06-01,14.317,14.71,13.777,13.793,83872,0
2010-06-02,13.941,14.593,13.595,14.558,44478,0
2010-06-03,14.468,14.828,14.385,14.694,18155,0
2010-06-04,14.287,14.356,13.393,13.461,109173,0
2010-06-07,13.595,13.785,13.159,13.175,60991,0
2010-06-08,13.144,13.521,13.062,13.431,47286,0
2010-06-09,13.633,13.633,12.987,13.108,74013,0
2010-06-10,13.37,13.461,12.844,13.287,52770,0
2010-06-11,13.01,13.551,13.01,13.497,27790,0
2010-06-14,13.679,14.047,13.582,13.912,28656,0
2010-06-15,14.07,14.408,13.851,14.392,56961,0
2010-06-16,14.287,14.491,14.13,14.34,45463,0
2010-06-17,14.453,14.476,14.28,14.302,10525,0
2010-06-18,14.34,14.4,14.153,14.173,90078,0
2010-06-21,14.377,14.377,13.664,13.707,27063,0
2010-06-22,13.739,13.874,13.452,13.469,42708,0
2010-06-23,13.407,13.602,13.386,13.407,25036,0
2010-06-24,13.37,13.625,13.251,13.287,71193,0
2010-06-25,13.4,14.114,13.4,14.114,260599,0
2010-06-28,14.002,14.619,14.002,14.251,72314,0
2010-06-29,14.038,14.047,13.166,13.301,69552,0
2010-06-30,13.342,13.488,12.939,13.024,77386,0
2010-07-01,13.219,13.219,12.632,12.905,78359,0
2010-07-02,13.038,13.129,12.679,12.889,22180,0
2010-07-06,13.108,13.452,12.709,12.8,39755,0
2010-07-07,12.896,13.452,12.896,13.445,54349,0
