Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,3.6476,3.9334,3.6476,3.9334,4027,0
2010-01-05,3.825,3.825,3.7067,3.7067,812,0
2010-01-06,3.7067,3.7067,3.5687,3.618,5610,0
2010-01-07,3.618,3.6869,3.5588,3.5588,8494,0
2010-01-08,3.5687,3.5687,3.5687,3.5687,304,0
2010-01-11,3.5687,3.5687,3.263,3.4504,8060,0
2010-01-12,3.342,3.5983,3.3025,3.5983,18194,0
2010-01-13,3.6968,3.7855,3.4504,3.5785,28067,0
2010-01-14,3.5687,3.618,3.5687,3.618,7621,0
2010-01-15,3.618,3.7954,3.5687,3.7166,7821,0
2010-01-19,3.6476,3.7166,3.6081,3.6771,13267,0
2010-01-20,3.6673,3.7461,3.3913,3.4405,27703,0
2010-01-21,3.6476,3.6476,3.3913,3.4898,2840,0
2010-01-22,3.3025,3.3518,3.3025,3.3222,1623,0
2010-01-25,3.4602,3.4602,3.4306,3.4504,5982,0
2010-01-26,3.4011,3.4504,3.4011,3.4504,2638,0
2010-01-27,3.4504,3.5194,3.3813,3.3813,6420,0
2010-01-28,3.3518,3.4011,3.3518,3.4011,2348,0
2010-01-29,3.4504,3.4799,3.4504,3.4799,2566,0
2010-02-01,3.4602,3.8151,3.3222,3.4405,38187,0
2010-02-02,3.3222,3.4898,3.3222,3.4405,8672,0
2010-02-03,3.3518,3.4405,3.3518,3.4405,3175,0
2010-02-04,3.4504,3.549,3.4504,3.549,11088,0
2010-02-05,3.549,3.6376,3.549,3.6376,54419,0
2010-02-08,3.6574,3.6574,3.618,3.6476,485,0
2010-02-09,3.7166,3.9729,3.6574,3.6574,18817,0
2010-02-11,3.5883,3.5883,3.5883,3.5883,340,0
2010-02-12,3.4504,3.4504,3.4504,3.4504,3891,0
2010-02-16,3.6376,3.6376,3.5588,3.5588,985,0
2010-02-17,3.5588,3.5983,3.4898,3.5983,3050,0
2010-02-19,3.6376,3.6869,3.6376,3.6574,2231,0
2010-02-22,3.5785,3.5883,3.4504,3.5785,2217,0
2010-02-23,3.5687,3.5687,3.4504,3.5095,1823,0
2010-02-24,3.4504,3.5194,3.3321,3.4701,3882,0
2010-02-25,3.3813,3.549,3.1448,3.4306,6413,0
2010-02-26,3.4306,3.4898,3.2927,3.4898,7579,0
2010-03-01,3.4799,3.4799,3.3025,3.3813,5325,0
2010-03-02,3.2532,3.3616,3.1546,3.2137,17180,0
2010-03-03,3.1349,3.5095,3.0856,3.4306,21136,0
2010-03-04,3.4898,3.8743,3.4898,3.7757,30908,0
2010-03-05,3.7855,3.8545,3.5292,3.6278,24440,0
2010-03-08,3.4504,3.5194,3.2434,3.3715,50784,0
2010-03-09,3.3715,3.4208,3.1744,3.263,12573,0
2010-03-10,3.2927,3.5194,3.2828,3.5194,9762,0
2010-03-11,3.4898,3.549,3.2039,3.549,21433,0
2010-03-12,3.5292,3.8841,3.4011,3.825,31809,0
2010-03-15,3.7954,3.8644,3.5292,3.6771,27265,0
2010-03-16,3.4504,3.4997,3.342,3.4701,22630,0
2010-03-17,3.3518,3.9433,3.3123,3.9137,44040,0
2010-03-18,3.5983,3.7954,3.4701,3.6968,3993,0
2010-03-19,3.6771,4.0419,3.6771,4.0419,14423,0
2010-03-22,4.0222,4.0222,3.7264,3.7264,1072,0
2010-03-23,3.7855,3.7954,3.4701,3.5588,3463,0
2010-03-24,3.4208,3.6869,3.4109,3.6476,3621,0
2010-03-25,3.8644,3.8644,3.756,3.756,609,0
2010-03-26,3.8447,3.8644,3.618,3.7855,15378,0
2010-03-29,3.4898,3.5588,3.4504,3.4997,2154,0
2010-03-30,3.5687,3.5983,3.4602,3.4602,2303,0
2010-03-31,3.756,3.756,3.756,3.756,203,0
2010-04-01,3.5785,3.8348,3.5785,3.6771,1371,0
2010-04-05,3.4898,3.6081,3.4701,3.5883,13912,0
2010-04-06,3.4701,3.5687,3.4504,3.5687,4000,0
2010-04-07,3.4701,3.5983,3.3518,3.5194,27674,0
2010-04-08,3.4109,3.4701,3.3813,3.4504,3010,0
2010-04-09,3.4405,3.5883,3.4405,3.539,3755,0
2010-04-12,3.3518,3.5588,3.3518,3.4799,1075,0
2010-04-13,3.3222,3.8447,3.3222,3.549,28313,0
2010-04-14,3.6771,3.8053,3.6771,3.756,10980,0
2010-04-15,3.8447,3.9926,3.618,3.7461,14502,0
2010-04-16,3.8841,3.8841,3.8644,3.8841,1724,0
2010-04-19,3.8348,3.8348,3.6968,3.6968,10759,0
2010-04-20,3.6771,3.7067,3.5883,3.5883,4869,0
2010-04-21,3.549,3.549,3.3813,3.4011,8785,0
2010-04-22,3.3813,3.4997,3.3813,3.4109,40732,0
2010-04-23,3.4218,3.4516,3.2433,3.4516,43080,0
2010-04-26,3.4504,3.4504,3.2039,3.2236,18800,0
2010-04-27,3.263,3.263,3.0265,3.1251,15259,0
2010-04-28,3.1349,3.1842,3.056,3.1546,26840,0
2010-04-29,3.1546,3.549,3.1151,3.4602,48628,0
2010-04-30,3.4306,3.549,3.4306,3.549,34292,0
2010-05-03,3.549,3.7954,3.5194,3.6476,29766,0
2010-05-04,3.6278,3.6278,3.263,3.3913,16307,0
2010-05-05,3.3616,3.3616,3.2828,3.2828,2330,0
2010-05-06,3.263,3.6968,3.2532,3.6869,30255,0
2010-05-07,3.6968,3.6968,3.263,3.4898,16690,0
2010-05-10,3.4799,3.4799,3.3123,3.3123,4790,0
2010-05-11,3.2434,3.4109,3.1744,3.3518,5988,0
2010-05-12,3.2828,3.4504,3.2828,3.3321,1507,0
2010-05-13,3.4504,3.4701,3.3321,3.3321,6036,0
2010-05-14,3.3813,3.4602,3.3715,3.4504,984,0
2010-05-17,3.4997,3.4997,3.4504,3.4504,710,0
2010-05-18,3.4504,3.4898,3.3025,3.3813,3062,0
2010-05-19,3.4011,3.4898,3.2434,3.3222,6055,0
2010-05-20,3.3616,3.3616,3.263,3.263,507,0
2010-05-21,3.263,3.3813,3.2039,3.2039,4766,0
2010-05-24,3.3715,3.4011,3.2729,3.2729,1082,0
2010-05-25,3.2729,3.3321,3.2039,3.2434,3653,0
2010-05-26,3.4602,3.4997,3.3913,3.4997,2152,0
2010-05-27,3.4701,3.4898,3.3025,3.4011,3187,0
2010-05-28,3.3025,3.4504,3.3025,3.3222,3652,0
2010-06-01,3.3518,3.3518,3.3518,3.3518,304,0
2010-06-02,3.3518,3.4011,3.2434,3.3222,1928,0
2010-06-03,3.3813,3.4011,3.3518,3.4011,2333,0
2010-06-04,3.2434,3.2532,3.2434,3.2532,1034,0
2010-06-07,3.2434,3.2434,3.1941,3.1941,5896,0
2010-06-08,3.056,3.0659,3.0067,3.056,10474,0
2010-06-09,3.056,3.1744,3.0067,3.1251,1248,0
2010-06-10,3.2137,3.342,3.1053,3.3123,2435,0
2010-06-11,3.1349,3.2236,3.0659,3.2236,1826,0
2010-06-14,3.1644,3.3123,3.0659,3.0659,3913,0
2010-06-15,3.1151,3.1151,3.0462,3.0462,3844,0
2010-06-16,3.0067,3.056,3.0067,3.0067,11041,0
2010-06-17,3.1151,3.3518,2.9674,3.3518,18499,0
2010-06-18,3.1842,3.4306,3.0659,3.4306,7666,0
2010-06-21,3.3518,3.4898,3.2335,3.4701,13843,0
2010-06-22,3.4208,3.4208,3.2137,3.3321,13346,0
2010-06-23,3.1744,3.1744,3.1251,3.1448,1332,0
2010-06-24,3.0955,3.1644,2.8391,3.1053,42741,0
2010-06-25,3.1151,3.1151,2.9574,2.9969,6963,0
2010-06-28,2.9674,3.0067,2.8884,3.0067,10854,0
2010-06-29,3.0067,3.1546,2.8096,2.9081,30188,0
2010-06-30,2.95,3,2.93,2.98,12665,0
2010-07-01,2.9181,2.9181,2.9081,2.9081,1369,0
2010-07-02,2.9081,3.0167,2.9081,2.9772,4717,0
2010-07-06,2.9279,2.9279,2.9081,2.9081,3668,0
2010-07-07,2.8293,2.8589,2.8195,2.8589,1826,0
2010-07-08,2.8688,2.9574,2.8195,2.849,14557,0
2010-07-09,2.7997,2.8293,2.3068,2.5631,41598,0
2010-07-12,2.6124,2.6223,2.4744,2.5138,10193,0
2010-07-13,2.4942,2.7997,2.4842,2.4842,11257,0
2010-07-14,2.4942,2.6617,2.4942,2.6617,9170,0
2010-07-15,2.6913,2.9279,2.6913,2.9279,2942,0
2010-07-16,2.8293,3.1349,2.7898,2.7898,11921,0
2010-07-19,2.7702,3.1053,2.7603,2.8786,4141,0
2010-07-20,2.8786,2.8983,2.6617,2.6617,10795,0
2010-07-21,2.711,2.8589,2.6716,2.7603,11171,0
2010-07-22,3.0067,3.0067,2.6814,2.7209,6104,0
2010-07-23,2.8983,2.8983,2.7209,2.7209,1319,0
2010-07-26,2.7504,3.1053,2.5828,2.7011,37823,0
2010-07-27,2.7603,2.9574,2.7209,2.9574,8553,0
2010-07-28,2.9081,3.1053,2.9081,3.0167,2033,0
2010-07-29,3.0067,3.0265,2.8589,2.8884,12441,0
2010-07-30,2.9772,2.9772,2.8589,2.8983,2534,0
2010-08-02,2.8391,2.9081,2.7603,2.9081,1116,0
2010-08-03,2.7702,2.9969,2.7702,2.78,5376,0
2010-08-04,2.9674,2.9674,2.78,2.8983,3247,0
2010-08-05,2.8688,2.9574,2.78,2.9574,6493,0
2010-08-06,2.9081,2.9081,2.9081,2.9081,102,0
2010-08-10,2.8884,2.8884,2.5927,2.7702,6315,0
2010-08-11,2.78,2.78,2.78,2.78,177,0
2010-08-12,2.7406,2.7406,2.6716,2.7307,1928,0
2010-08-13,2.7406,2.9772,2.7406,2.8983,2638,0
2010-08-16,2.9772,2.9772,2.8786,2.9574,3652,0
2010-08-17,2.8688,2.9574,2.8391,2.8589,7202,0
2010-08-18,2.8688,2.8688,2.573,2.5927,12378,0
2010-08-19,2.711,2.711,2.573,2.711,12315,0
2010-08-20,2.573,2.987,2.573,2.8688,10029,0
2010-08-23,2.8589,2.8589,2.8096,2.8589,13412,0
2010-08-24,2.8391,2.8589,2.8195,2.8195,1319,0
2010-08-25,2.7702,2.7702,2.6617,2.6716,49401,0
2010-08-26,2.7603,2.7603,2.6716,2.7504,878,0
2010-08-27,2.7603,2.8589,2.6814,2.8589,5610,0
2010-08-30,2.6814,2.7504,2.6716,2.6716,4697,0
2010-08-31,2.69,2.93,2.69,2.93,2122,0
2010-09-01,2.8589,2.9279,2.5927,2.7603,25108,0
2010-09-02,2.7603,2.8589,2.7603,2.8096,1258,0
2010-09-03,2.849,2.9574,2.8096,2.9574,3305,0
2010-09-07,2.9574,2.9574,2.9279,2.9279,1319,0
2010-09-08,2.78,2.8195,2.7702,2.8195,3043,0
2010-09-09,2.9772,2.987,2.8589,2.8589,1521,0
2010-09-10,2.9772,3.1546,2.8293,2.8589,18610,0
2010-09-13,2.8195,3.1251,2.6617,3.1151,17046,0
2010-09-14,2.9574,2.9574,2.6617,2.8195,2747,0
2010-09-15,2.8391,2.9674,2.8195,2.8195,2006,0
2010-09-16,2.8096,2.8096,2.7898,2.7997,622,0
2010-09-17,2.8688,2.8688,2.5828,2.5828,21373,0
2010-09-20,2.6124,2.8293,2.6124,2.8195,3642,0
2010-09-21,2.8195,2.8589,2.711,2.849,2840,0
2010-09-22,2.8391,2.8589,2.711,2.78,2181,0
2010-09-23,2.7504,2.849,2.7504,2.7997,1835,0
2010-09-24,2.7209,2.7307,2.6617,2.6617,7914,0
2010-09-27,2.6617,2.6814,2.6124,2.6716,2759,0
2010-09-28,2.6617,2.6617,2.6617,2.6617,6805,0
2010-09-29,2.7504,2.7603,2.6124,2.6124,6200,0
2010-09-30,2.6779,2.7771,2.6779,2.7672,2811,0
2010-10-04,2.6519,2.6519,2.6519,2.6519,102,0
2010-10-05,2.7307,2.7504,2.6124,2.6617,3010,0
2010-10-07,2.5828,2.6026,2.573,2.573,1826,0
2010-10-11,2.6617,2.6617,2.6026,2.6026,2661,0
2010-10-13,2.6124,2.711,2.6124,2.711,20179,0
2010-10-14,2.6814,2.7603,2.6814,2.7603,6983,0
2010-10-15,2.7307,2.9081,2.711,2.9081,3956,0
2010-10-18,2.8096,2.9772,2.8096,2.9772,4323,0
2010-10-19,2.9674,2.9674,2.8589,2.8589,499,0
2010-10-20,2.9181,3.0462,2.9081,3.0265,3036,0
2010-10-21,3.0363,3.0955,2.9081,2.9674,12853,0
2010-10-22,3.0363,3.0363,2.9674,2.9674,2465,0
2010-10-25,2.9476,2.9574,2.8195,2.8195,4546,0
2010-10-26,2.8391,2.8391,2.78,2.7997,5256,0
2010-10-27,2.78,2.8293,2.7504,2.7504,3824,0
2010-10-28,2.7209,2.7209,2.5631,2.573,2080,0
2010-10-29,2.63,2.91,2.63,2.91,4417,0
2010-11-01,2.849,3.0067,2.8293,2.8983,5305,0
2010-11-02,2.9953,3.0251,2.9358,3.0251,3428,0
2010-11-03,2.9574,2.9674,2.9574,2.9674,419,0
2010-11-04,2.711,2.7504,2.711,2.711,2896,0
2010-11-05,2.7307,2.9377,2.711,2.9181,7358,0
2010-11-08,2.8391,2.849,2.6321,2.7997,2445,0
2010-11-09,2.711,2.78,2.642,2.6617,7475,0
2010-11-10,2.6617,2.7209,2.642,2.642,2130,0
2010-11-11,2.6814,2.8096,2.6814,2.711,12429,0
2010-11-12,2.642,2.642,2.6124,2.6124,2040,0
2010-11-15,2.642,2.642,2.6124,2.6321,452,0
2010-11-17,2.6913,2.8786,2.5828,2.7011,7589,0
2010-11-19,2.711,2.711,2.6617,2.6617,1014,0
2010-11-22,2.5927,2.5927,2.4349,2.5828,4128,0
2010-11-23,2.6519,2.7011,2.6519,2.6716,4583,0
2010-11-24,2.7011,2.7011,2.573,2.573,3044,0
2010-11-29,2.5927,2.5927,2.5138,2.5533,1455,0
2010-11-30,2.57,2.67,2.57,2.59,14654,0
2010-12-01,2.6519,2.6519,2.5927,2.5927,1217,0
2010-12-02,2.5237,2.6124,2.5237,2.5434,8319,0
2010-12-03,2.6223,2.7997,2.5138,2.7997,8739,0
