Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,9.57,9.69,9.527,9.588,1041301,0
2010-01-05,9.629,9.629,9.3715,9.4578,1039203,0
2010-01-06,9.4786,9.705,9.4419,9.576,950005,0
2010-01-07,9.558,9.956,9.558,9.924,1405100,0
2010-01-08,9.885,10.048,9.824,9.968,1355138,0
2010-01-11,10.048,10.095,9.878,9.932,729316,0
2010-01-12,9.87,9.956,9.753,9.817,717306,0
2010-01-13,9.885,10.087,9.791,10.053,631849,0
2010-01-14,10.041,10.323,10.01,10.308,791873,0
2010-01-15,10.293,10.308,10.087,10.159,742026,0
2010-01-19,10.159,10.323,10.159,10.308,814905,0
2010-01-20,10.208,10.493,10.061,10.444,1361186,0
2010-01-21,10.061,10.231,9.661,10.01,2789532,0
2010-01-22,9.777,9.917,9.4855,9.613,1999693,0
2010-01-25,9.74,9.74,9.3009,9.3411,2004912,0
2010-01-26,9.3077,9.4261,9.1296,9.1439,1551411,0
2010-01-27,9.1439,9.52,9.1439,9.4894,1807025,0
2010-01-28,9.4647,9.648,9.4647,9.527,1788252,0
2010-01-29,9.535,9.597,9.2932,9.3146,2226210,0
2010-02-01,9.3922,9.4894,9.23,9.3146,1002081,0
2010-02-02,9.3411,9.3569,9.2079,9.3009,997399,0
2010-02-03,9.23,9.3275,8.9799,9.0725,1178000,0
2010-02-04,9.0288,9.0582,8.8514,8.8877,1724676,0
2010-02-05,8.9007,9.177,8.7383,9.045,1629971,0
2010-02-08,9.0582,9.1296,8.8877,8.9007,718190,0
2010-02-09,9.0288,9.1567,8.8514,9.0925,1703131,0
2010-02-10,9.0288,9.1702,9.0073,9.123,713393,0
2010-02-11,9.0992,9.2631,9.0149,9.2631,1026300,0
2010-02-12,9.151,9.3215,9.151,9.3215,1150050,0
2010-02-16,9.3715,9.576,9.3146,9.565,1164956,0
2010-02-17,9.558,9.57,9.3215,9.3863,972424,0
2010-02-18,9.4122,9.527,9.3569,9.511,716331,0
2010-02-19,9.4716,9.597,9.434,9.597,905774,0
2010-02-22,9.648,9.753,9.597,9.753,694359,0
2010-02-23,9.713,9.777,9.605,9.62,864329,0
2010-02-24,9.677,9.817,9.648,9.769,997333,0
2010-02-25,9.613,9.753,9.558,9.728,705976,0
2010-02-26,9.762,9.831,9.613,9.745,1206768,0
2010-03-01,9.785,9.831,9.713,9.791,641646,0
2010-03-02,9.831,9.917,9.745,9.817,857905,0
2010-03-03,9.713,9.74,9.57,9.597,669202,0
2010-03-04,9.62,9.705,9.576,9.613,565931,0
2010-03-05,9.69,9.824,9.597,9.806,767661,0
2010-03-08,9.798,9.806,9.684,9.762,678393,0
2010-03-09,9.697,9.817,9.648,9.762,529603,0
