Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,19.985,20.082,19.892,19.979,5332246,0
2010-01-05,19.703,19.849,19.633,19.831,4356933,0
2010-01-06,19.789,19.866,19.642,19.676,5501731,0
2010-01-07,19.185,19.307,19.073,19.307,8510642,0
2010-01-08,19.082,19.09,18.849,19.012,12817868,0
2010-01-11,19.168,19.332,19.108,19.287,8072430,0
2010-01-12,19.143,19.297,19.108,19.263,6733647,0
2010-01-13,19.367,19.546,19.34,19.496,9953389,0
2010-01-14,19.307,19.434,19.28,19.382,11879490,0
2010-01-15,19.047,19.073,18.874,19.031,22605260,0
2010-01-19,19.393,19.546,19.367,19.53,8323655,0
2010-01-20,19.28,19.314,19.073,19.27,8210402,0
2010-01-21,19.047,19.116,18.779,18.978,13482234,0
2010-01-22,18.953,19.037,18.522,18.564,10854724,0
2010-01-25,18.694,18.823,18.667,18.737,8162538,0
2010-01-26,18.703,18.919,18.642,18.755,8256565,0
2010-01-27,19.004,19.056,18.779,18.96,6831040,0
2010-01-28,18.96,18.96,18.505,18.642,7192001,0
2010-01-29,18.651,18.763,18.453,18.487,6803713,0
2010-02-01,18.599,18.727,18.564,18.624,5716557,0
2010-02-02,18.609,18.901,18.574,18.858,6696591,0
2010-02-03,18.651,18.676,18.426,18.66,6715183,0
2010-02-04,19.255,19.393,18.874,19.004,18100601,0
2010-02-05,18.986,19.073,18.642,19.012,13800377,0
2010-02-08,18.815,18.953,18.72,18.755,7419342,0
2010-02-09,18.59,19.037,18.564,18.737,10315260,0
2010-02-10,18.582,18.841,18.522,18.763,5963273,0
2010-02-11,18.547,18.874,18.426,18.815,5784622,0
2010-02-12,18.712,18.97,18.599,18.874,4848738,0
2010-02-16,18.815,19.116,18.763,19.064,7405941,0
2010-02-17,19.064,19.143,18.953,19.082,9666808,0
2010-02-18,19.012,19.263,19.004,19.202,5478933,0
2010-02-19,18.919,19.143,18.815,19.09,4977302,0
2010-02-22,18.978,18.996,18.91,18.96,5270784,0
2010-02-23,18.815,18.891,18.676,18.746,10264279,0
2010-02-24,18.737,18.986,18.712,18.943,8269303,0
2010-02-25,18.746,18.986,18.667,18.953,4458859,0
2010-02-26,18.538,18.779,18.462,18.755,6677880,0
2010-03-01,18.401,18.66,18.367,18.624,10686806,0
2010-03-02,18.737,18.884,18.642,18.823,6518797,0
2010-03-03,19.245,19.374,19.211,19.28,5934191,0
2010-03-04,19.245,19.314,19.16,19.263,7103985,0
2010-03-05,19.116,19.426,19.056,19.358,5916404,0
2010-03-08,19.34,19.418,19.237,19.374,6046356,0
2010-03-09,19.245,19.418,19.219,19.358,7638265,0
2010-03-10,19.185,19.393,19.143,19.358,7602937,0
2010-03-11,19.453,19.659,19.322,19.623,6123178,0
2010-03-12,19.873,19.968,19.779,19.814,7140726,0
2010-03-15,19.709,19.729,19.564,19.718,4793395,0
2010-03-16,19.521,19.822,19.496,19.779,6489544,0
2010-03-17,19.729,19.76,19.571,19.615,13384784,0
2010-03-18,19.46,19.546,19.322,19.511,5464573,0
2010-03-19,19.453,19.511,19.143,19.444,9733237,0
2010-03-22,19.064,19.453,19.037,19.374,6989579,0
2010-03-23,19.255,19.46,19.202,19.444,5245177,0
2010-03-24,19.237,19.255,19.082,19.108,6157367,0
2010-03-25,19.031,19.073,18.901,18.919,10032339,0
2010-03-26,18.807,18.926,18.807,18.91,5984182,0
2010-03-29,19.46,19.856,19.453,19.814,11916972,0
2010-03-30,19.907,20.055,19.667,19.979,11199930,0
2010-03-31,19.856,20.09,19.814,20.082,11041398,0
2010-04-01,19.856,20.141,19.841,20.124,8124777,0
2010-04-05,20.202,20.289,20.115,20.227,3495878,0
2010-04-06,19.564,19.849,19.546,19.849,9669270,0
2010-04-07,19.47,19.598,19.426,19.53,12228435,0
2010-04-08,19.382,19.805,19.34,19.745,5902173,0
2010-04-09,19.729,19.892,19.709,19.882,4361106,0
2010-04-12,19.892,19.918,19.796,19.822,4108705,0
2010-04-13,19.866,19.943,19.729,19.901,5221870,0
2010-04-14,20.09,20.227,20.03,20.176,6172721,0
2010-04-15,20.34,20.494,20.289,20.408,6869972,0
2010-04-16,20.296,20.382,20.03,20.141,8752196,0
2010-04-19,19.796,20.09,19.77,20.055,7565235,0
2010-04-20,20.038,20.055,19.892,20.02,8824299,0
2010-04-21,19.985,20.09,19.953,20.064,4952372,0
2010-04-22,19.693,19.96,19.608,19.953,9310790,0
2010-04-23,19.633,19.979,19.591,19.901,7755759,0
2010-04-26,19.892,19.934,19.814,19.849,5955514,0
2010-04-27,19.219,19.314,18.935,19.073,24266948,0
2010-04-28,18.841,18.919,18.59,18.884,15326008,0
2010-04-29,19.056,19.287,18.953,19.237,9567248,0
2010-04-30,19.149,19.358,19.123,19.123,8437483,0
2010-05-03,19.202,19.479,19.16,19.349,6382439,0
2010-05-04,18.815,19.185,18.531,18.72,12455111,0
2010-05-05,18.341,18.478,18.307,18.41,10508583,0
2010-05-06,18.263,18.349,16.885,17.754,14195310,0
2010-05-07,17.264,17.402,16.721,17.23,23243831,0
2010-05-10,18.038,18.098,17.833,18.056,13058189,0
2010-05-11,17.523,17.971,17.427,17.686,12093365,0
2010-05-12,17.558,17.833,17.523,17.824,9450952,0
2010-05-13,17.531,17.702,17.471,17.48,11933621,0
2010-05-14,17.384,17.402,16.876,17.007,15491879,0
2010-05-17,17.151,17.342,16.843,17.291,8864796,0
2010-05-18,17.194,17.203,16.79,16.834,17270369,0
2010-05-19,16.513,16.713,16.203,16.55,21618578,0
2010-05-20,16.032,16.55,15.689,16.102,18844475,0
2010-05-21,15.928,16.437,15.842,16.411,17247919,0
2010-05-24,16.386,16.447,16.091,16.091,9817374,0
2010-05-25,15.912,16.583,15.877,16.507,20646457,0
2010-05-26,16.471,16.783,16.471,16.539,19944281,0
2010-05-27,16.928,17.35,16.895,17.306,13784051,0
2010-05-28,17.496,17.506,17.194,17.315,11541526,0
2010-06-01,17.324,17.651,17.272,17.436,23538365,0
2010-06-02,17.032,17.272,16.885,17.246,14138884,0
2010-06-03,17.462,17.627,17.298,17.584,15783478,0
2010-06-04,17.506,17.575,17.143,17.23,16146023,0
2010-06-07,17.282,17.333,17.014,17.04,11388729,0
2010-06-08,16.858,16.961,16.671,16.928,9604884,0
2010-06-09,17.211,17.394,17.048,17.083,11122093,0
