Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,7.3205,7.4931,7.2836,7.401,576112,0
2010-01-05,7.4135,7.4499,7.3572,7.4499,375231,0
2010-01-06,7.4499,7.4815,7.4433,7.4499,321402,0
2010-01-07,7.475,7.475,7.4135,7.4688,381079,0
2010-01-08,7.4318,7.5416,7.419,7.5416,435630,0
2010-01-11,7.5416,7.6282,7.5164,7.6098,380762,0
2010-01-12,7.6044,7.6471,7.5545,7.6164,521282,0
2010-01-13,7.5849,7.6044,7.5164,7.5545,348700,0
2010-01-14,7.4986,7.5729,7.4986,7.5602,303113,0
2010-01-15,7.5849,7.6044,7.5479,7.5913,243749,0
2010-01-19,7.5602,7.6401,7.5602,7.5978,447309,0
2010-01-20,7.5785,7.6904,7.5785,7.6523,458501,0
2010-01-21,7.6584,7.6841,7.5116,7.6044,376227,0
2010-01-22,7.6044,7.6712,7.5913,7.6712,518656,0
2010-01-25,7.6584,7.831,7.6523,7.7525,620764,0
2010-01-26,7.7458,7.793,7.7013,7.7013,544838,0
2010-01-27,7.7458,7.7996,7.6904,7.7394,532640,0
2010-01-28,7.7143,7.8069,7.6841,7.7337,635210,0
2010-01-29,7.7832,7.8128,7.6965,7.7272,702569,0
2010-02-01,7.7996,7.8563,7.7648,7.8069,686183,0
2010-02-02,7.7832,7.8563,7.7832,7.8494,381399,0
2010-02-03,7.8362,7.8749,7.7996,7.8749,405337,0
2010-02-04,7.8625,7.8749,7.7394,7.7525,634873,0
2010-02-05,7.7768,7.7832,7.3945,7.5354,790170,0
2010-02-08,7.5054,7.6471,7.5054,7.5234,384796,0
2010-02-09,7.5116,7.5545,7.4688,7.5164,431449,0
2010-02-10,7.4499,7.5354,7.4499,7.4986,444994,0
2010-02-11,7.4875,7.5913,7.4875,7.5416,309179,0
2010-02-12,7.5234,7.5416,7.4875,7.5416,245047,0
2010-02-16,7.5674,7.5785,7.4815,7.5785,393882,0
2010-02-17,7.5674,7.6282,7.5545,7.5978,298262,0
