Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,28.846,29.119,28.103,28.29,1833914,0
2010-01-05,28.224,28.486,27.883,28.426,2213571,0
2010-01-06,28.426,28.603,27.952,28.108,3034746,0
2010-01-07,28.022,28.519,27.777,28.419,4248815,0
2010-01-08,28.231,28.355,27.806,28.108,2537440,0
2010-01-11,28.16,28.761,28.16,28.675,2156734,0
2010-01-12,28.519,28.696,28.217,28.492,2504520,0
2010-01-13,28.701,29.381,28.576,29.309,2831280,0
2010-01-14,29.229,29.601,28.942,29.209,1961268,0
2010-01-15,29.164,29.309,29.014,29.151,1929021,0
2010-01-19,29.256,29.66,29.126,29.582,2383954,0
2010-01-20,29.393,29.46,28.839,29.079,2425950,0
2010-01-21,29.151,29.27,28.376,28.426,2803346,0
2010-01-22,28.344,28.727,27.82,27.899,3069758,0
2010-01-25,28.03,28.127,27.442,27.827,3280620,0
2010-01-26,27.611,28.16,27.409,27.703,2393166,0
2010-01-27,27.605,28.133,27.318,28.115,2716027,0
2010-01-28,28.21,28.317,27.521,27.867,2297928,0
2010-01-29,28.08,28.266,27.331,27.538,3026205,0
2010-02-01,27.683,27.92,27.509,27.906,1882226,0
2010-02-02,27.878,28.376,27.544,28.324,2344762,0
2010-02-03,28.145,28.187,27.82,27.878,1856855,0
2010-02-04,27.664,27.703,26.672,26.725,3982313,0
2010-02-05,26.763,27.466,26.47,27.455,3951527,0
2010-02-08,27.409,27.617,26.856,26.893,2330973,0
2010-02-09,27.147,27.213,26.619,26.809,2119724,0
2010-02-10,26.783,27.213,26.338,27.011,1897757,0
2010-02-11,26.933,27.345,26.712,27.326,1805192,0
2010-02-12,26.979,27.384,26.809,27.331,1603376,0
2010-02-16,27.527,28.283,27.527,28.26,2176039,0
2010-02-17,28.348,28.905,28.31,28.827,2560883,0
2010-02-18,28.569,29.411,28.569,29.34,2887489,0
2010-02-19,29.701,29.701,29.217,29.425,2591521,0
2010-02-22,29.489,29.614,29.309,29.388,2099527,0
2010-02-23,29.363,29.433,29.085,29.184,2520821,0
2010-02-24,29.404,29.471,29.151,29.303,2553277,0
2010-02-25,28.948,29.085,28.727,29.008,3279814,0
2010-02-26,29.001,29.171,28.787,28.839,2549288,0
2010-03-01,28.989,29.119,28.792,29.035,2281275,0
2010-03-02,29.184,29.263,28.963,29.008,1676918,0
2010-03-03,29.093,29.107,28.911,28.918,1759919,0
2010-03-04,29.043,29.119,28.819,28.956,2109159,0
2010-03-05,29.073,29.505,28.93,29.447,2318456,0
2010-03-08,29.433,29.701,29.29,29.622,1335533,0
2010-03-09,29.558,29.985,29.388,29.818,2294895,0
2010-03-10,29.398,29.786,29.171,29.638,2463640,0
2010-03-11,29.433,29.974,29.418,29.962,1821854,0
2010-03-12,30.086,30.483,29.993,30.339,2250861,0
2010-03-15,30.105,30.502,29.836,30.445,3091347,0
2010-03-16,30.411,30.998,30.359,30.947,3317708,0
2010-03-17,31.071,31.376,30.901,31.272,2102743,0
2010-03-18,30.965,31.175,30.86,31.023,2163835,0
2010-03-19,31.101,31.209,30.608,30.939,2774222,0
2010-03-22,30.86,31.873,30.608,31.731,2407658,0
2010-03-23,31.339,31.683,31.253,31.639,2511607,0
2010-03-24,31.6,31.953,31.513,31.748,2133980,0
2010-03-25,31.109,32.134,31.109,31.664,2513195,0
2010-03-26,31.736,31.997,31.345,31.391,3184336,0
2010-03-29,31.724,31.834,31.267,31.417,2190542,0
2010-03-30,31.447,31.66,31.285,31.417,2035161,0
2010-03-31,31.267,31.405,30.939,30.987,2589690,0
2010-04-01,31.16,31.227,30.693,30.926,2268912,0
2010-04-05,31.116,31.481,30.987,31.422,2179119,0
2010-04-06,31.305,32.025,31.129,31.886,2048969,0
2010-04-07,31.717,31.847,31.129,31.247,2051300,0
2010-04-08,31.155,31.376,30.818,30.875,2887247,0
2010-04-09,30.998,31.084,30.555,30.673,3863408,0
2010-04-12,30.724,30.843,30.281,30.483,2810521,0
2010-04-13,30.594,30.952,30.445,30.882,3957227,0
2010-04-14,31.084,31.116,30.378,30.477,3108638,0
2010-04-15,30.477,30.477,29.738,29.786,3625902,0
2010-04-16,29.738,29.851,28.89,28.911,5651684,0
2010-04-19,28.779,29.263,28.669,29.107,4127856,0
2010-04-20,29.355,29.818,29.054,29.792,2778165,0
2010-04-21,29.721,30.391,29.686,30.072,3056357,0
2010-04-22,29.778,30.875,29.708,30.776,2395532,0
2010-04-23,30.689,31.342,30.617,31.323,5331659,0
2010-04-26,31.312,31.855,31.194,31.646,2389837,0
2010-04-27,31.437,31.867,30.868,30.926,3628899,0
2010-04-28,30.059,31.216,29.404,30.914,2851033,0
2010-04-29,31.234,31.977,31.123,31.939,2426272,0
2010-04-30,31.683,31.867,30.704,30.823,3071931,0
2010-05-03,31.052,31.912,30.823,31.676,2145610,0
2010-05-04,31.364,31.509,30.781,31.144,3669817,0
2010-05-05,30.818,31.209,30.319,30.572,1989098,0
2010-05-06,30.497,31.26,28.153,29.863,5479194,0
2010-05-07,29.903,30.594,29.021,29.649,4752551,0
2010-05-10,31.09,32.207,30.888,32.173,5367176,0
2010-05-11,31.632,32.37,31.509,31.769,4199931,0
2010-05-12,31.796,32.342,31.696,32.263,2796526,0
2010-05-13,32.277,32.389,31.748,31.821,2436547,0
2010-05-14,31.437,31.696,30.882,31.194,2916979,0
2010-05-17,31.398,31.653,30.319,31.137,2564489,0
2010-05-18,31.489,31.618,30.17,30.293,2777163,0
2010-05-19,30.182,30.763,29.544,30.158,3187248,0
2010-05-20,29.44,29.792,28.799,28.834,4783045,0
2010-05-21,28.456,30.045,28.456,30.007,6286426,0
2010-05-24,30.072,30.202,29.368,29.433,2895368,0
2010-05-25,28.792,29.743,28.224,29.715,3317794,0
2010-05-26,30.08,30.502,29.334,29.471,3312788,0
2010-05-27,29.967,31.052,29.89,31.018,2852271,0
2010-05-28,30.926,31.242,30.49,30.639,2496872,0
2010-06-01,30.307,30.998,30.202,30.457,3499914,0
2010-06-02,30.724,31.298,30.319,31.272,3672648,0
2010-06-03,31.22,31.339,30.829,31.144,3116808,0
2010-06-04,30.529,30.882,29.568,29.672,3808026,0
2010-06-07,29.863,30.25,29.512,29.537,2486124,0
2010-06-08,29.715,30.244,28.905,30.111,4365553,0
2010-06-09,30.007,30.47,29.818,29.949,3735330,0
2010-06-10,30.536,31.209,30.314,31.15,3102979,0
2010-06-11,30.693,31.625,30.536,31.545,2221612,0
2010-06-14,31.66,32.134,31.586,31.899,3079910,0
2010-06-15,32.082,32.781,31.899,32.72,2878903,0
2010-06-16,32.513,32.714,32.252,32.486,2962999,0
2010-06-17,32.467,32.691,32.134,32.597,2226576,0
2010-06-18,32.59,32.703,32.095,32.328,3443514,0
2010-06-21,32.625,32.845,32.161,32.291,2174991,0
2010-06-22,32.252,32.401,31.267,31.334,3248850,0
2010-06-23,31.475,31.683,30.894,31.247,3819737,0
2010-06-24,31.046,31.312,30.615,30.908,3680646,0
2010-06-25,31.038,31.809,30.843,31.689,4205501,0
2010-06-28,31.796,31.939,31.298,31.469,3356074,0
2010-06-29,30.958,31.194,30.502,30.711,4260620,0
2010-06-30,30.712,31.246,30.553,30.639,3944698,0
2010-07-01,30.752,30.868,30.051,30.711,4005080,0
2010-07-02,30.908,30.987,30.236,30.287,3419040,0
2010-07-06,30.483,31.059,29.871,30.08,4378908,0
2010-07-07,30.3,31.345,30.093,31.334,4174693,0
2010-07-08,31.606,31.802,30.771,31.272,2738045,0
2010-07-09,31.155,31.71,31.144,31.683,2229051,0
2010-07-12,31.66,31.776,31.339,31.639,1618255,0
2010-07-13,31.977,32.122,31.67,32.031,2708936,0
2010-07-14,31.769,32.114,31.422,31.789,1716940,0
2010-07-15,31.802,31.802,31.013,31.534,2910610,0
2010-07-16,31.312,31.383,30.572,30.829,3827266,0
2010-07-19,30.837,31.664,30.55,31.422,2233230,0
2010-07-20,31.09,32.263,30.843,32.179,3044305,0
2010-07-21,32.324,32.324,31.339,31.43,2972615,0
2010-07-22,31.703,32.662,31.683,32.519,3576337,0
2010-07-23,32.328,33.009,31.991,32.984,2716226,0
2010-07-26,32.85,33.871,32.662,33.824,3419279,0
2010-07-27,34.117,34.117,33.139,33.701,2428064,0
2010-07-28,33.648,33.843,33.152,33.25,2746492,0
2010-07-29,33.583,33.661,32.668,32.878,2433959,0
2010-07-30,32.513,33.283,32.461,33.101,2994848,0
2010-08-02,33.753,34.281,33.499,34.202,2205065,0
2010-08-03,33.969,34.189,33.8,34.032,1626479,0
2010-08-04,34.099,34.302,33.923,34.117,1801974,0
2010-08-05,33.891,34.176,33.529,33.641,1914852,0
2010-08-06,33.309,33.8,32.971,33.72,2166521,0
2010-08-09,33.904,34.11,33.616,34.08,1411503,0
2010-08-10,33.777,34.189,33.48,34.006,2519758,0
2010-08-11,33.458,33.603,32.885,33.062,2621352,0
2010-08-12,32.662,33.016,32.447,32.546,2566266,0
2010-08-13,32.486,32.905,32.486,32.539,1741901,0
2010-08-16,32.377,32.768,32.233,32.565,1209099,0
2010-08-17,32.863,33.623,32.655,33.597,1943416,0
2010-08-18,33.556,33.701,33.309,33.524,1195735,0
2010-08-19,33.356,33.395,32.473,32.641,1975092,0
2010-08-20,32.395,32.845,32.37,32.793,1722572,0
2010-08-23,32.989,33.133,32.631,32.755,1367741,0
2010-08-24,32.383,32.749,32.056,32.356,2256242,0
2010-08-25,32.179,32.774,32.056,32.625,2285783,0
2010-08-26,32.834,32.85,32.285,32.395,2062976,0
2010-08-27,32.604,33.062,31.939,33.035,1821563,0
2010-08-30,32.871,33.372,32.871,32.892,2347988,0
2010-08-31,32.846,33.22,32.695,32.961,2677447,0
2010-09-01,33.372,34.217,33.337,34.16,2780747,0
2010-09-02,34.105,34.458,34.086,34.38,2338792,0
2010-09-03,34.796,34.87,34.373,34.816,1444015,0
2010-09-07,34.589,34.667,34.295,34.366,1508331,0
2010-09-08,34.412,34.653,34.339,34.511,1598794,0
2010-09-09,34.835,34.908,33.675,33.98,2361207,0
2010-09-10,34.059,34.123,33.675,34.032,968967,0
2010-09-13,34.321,34.529,33.98,34.477,1771350,0
2010-09-14,34.308,34.895,34.231,34.569,2021969,0
2010-09-15,34.166,34.646,33.957,34.582,1461772,0
2010-09-16,34.529,34.562,34.238,34.471,1222229,0
2010-09-17,34.555,34.667,34.244,34.511,1288754,0
2010-09-20,34.704,35.169,34.595,35.099,1950763,0
2010-09-21,35.11,35.11,34.202,34.295,2627106,0
2010-09-22,34.244,34.535,34.099,34.145,1602688,0
2010-09-23,33.8,33.969,33.185,33.185,1978237,0
2010-09-24,33.597,34.16,33.464,34.073,1463727,0
2010-09-27,34.038,34.105,33.511,33.641,1298385,0
2010-09-28,33.61,33.8,33.048,33.761,1884332,0
2010-09-29,33.623,33.675,33.309,33.511,1310159,0
2010-09-30,33.643,33.994,33.386,33.657,2203903,0
2010-10-01,33.843,33.908,33.133,33.706,1734880,0
2010-10-04,33.524,34.265,33.458,34.25,2305553,0
2010-10-05,34.625,35.441,34.316,35.383,3401803,0
2010-10-06,35.371,35.378,34.985,35.274,1781344,0
2010-10-07,35.483,35.62,35.104,35.22,1995868,0
2010-10-08,35.245,35.312,34.968,35.116,2401208,0
2010-10-11,35.104,35.268,35.044,35.11,1786266,0
2010-10-12,34.927,35.234,34.759,35.175,1767233,0
2010-10-13,35.383,35.743,35.169,35.508,2025666,0
2010-10-14,35.365,35.645,35.116,35.332,1281179,0
2010-10-15,35.468,35.631,34.908,34.961,1892244,0
2010-10-18,34.908,35.527,34.908,35.521,2058078,0
2010-10-19,35.188,35.631,34.968,35.124,2151377,0
2010-10-20,35.169,36.077,35.169,35.88,2270237,0
2010-10-21,35.997,36.141,35.475,35.73,1667980,0
2010-10-22,35.697,35.783,34.138,34.166,5090589,0
2010-10-25,34.444,35.07,34.259,34.876,3079169,0
2010-10-26,34.625,35.346,34.625,35.182,1646820,0
2010-10-27,34.955,35.22,34.471,34.674,1618943,0
2010-10-28,34.888,34.973,34.224,34.711,951277,0
2010-10-29,34.678,35.035,34.611,34.955,1088146,0
2010-11-01,35.227,35.378,34.888,35.092,1211650,0
2010-11-02,35.318,35.462,34.968,35.104,864107,0
2010-11-03,35.182,35.195,34.66,35.006,1434222,0
2010-11-04,35.436,36.227,35.245,36.175,2175807,0
2010-11-05,35.963,36.676,35.715,35.957,2467489,0
2010-11-08,35.835,36.09,35.508,35.984,1463351,0
2010-11-09,36.083,36.127,34.704,34.948,3639086,0
2010-11-10,35.078,35.521,35.039,35.497,1674267,0
2010-11-11,35.312,35.705,35.215,35.378,1647400,0
2010-11-12,35.215,35.475,34.674,34.881,1638181,0
2010-11-15,34.955,35.26,34.555,34.613,1676517,0
