Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.351,16.704,16.335,16.563,89764,0
2010-01-05,16.503,16.659,16.227,16.302,64578,0
2010-01-06,16.335,16.47,15.959,16.087,70905,0
2010-01-07,16.087,16.227,15.724,16.055,57920,0
2010-01-08,15.959,16.094,15.849,15.998,49293,0
2010-01-11,16.023,16.063,15.772,15.819,45171,0
2010-01-12,15.677,15.811,15.542,15.756,61602,0
2010-01-13,15.756,16.116,15.756,16.046,45676,0
2010-01-14,16.031,16.289,15.983,16.132,38757,0
2010-01-15,16.211,16.327,16.015,16.203,109311,0
2010-01-19,16.179,16.43,16.108,16.366,80612,0
2010-01-20,16.295,16.295,15.803,16.116,80961,0
2010-01-21,16.102,16.235,15.535,15.606,56724,0
2010-01-22,15.614,15.976,15.598,15.724,64912,0
2010-01-25,15.787,15.826,15.598,15.724,66956,0
2010-01-26,15.63,15.661,15.371,15.466,49273,0
2010-01-27,15.388,15.866,15.315,15.707,25669,0
2010-01-28,15.7,15.7,15.276,15.489,63281,0
2010-01-29,15.582,15.927,15.355,15.481,102763,0
2010-02-01,15.489,15.513,15.245,15.388,115646,0
2010-02-02,15.355,15.411,15.103,15.315,77468,0
2010-02-03,15.245,15.379,14.876,15.213,106946,0
2010-02-04,15.161,15.323,14.845,14.869,153567,0
2010-02-05,14.884,15.535,14.665,15.29,132099,0
2010-02-08,15.29,15.29,14.507,14.507,101268,0
2010-02-09,14.507,14.617,13.826,13.906,138190,0
2010-02-10,13.906,13.958,13.653,13.84,95428,0
2010-02-11,13.786,13.964,13.598,13.945,65614,0
2010-02-12,13.826,14.148,13.739,14.116,131768,0
2010-02-16,14.203,14.203,13.929,14.164,185064,0
2010-02-17,14.156,14.226,14.012,14.148,105997,0
2010-02-18,14.164,14.538,14.164,14.492,78438,0
2010-02-19,14.499,15.032,14.499,15.024,127023,0
2010-02-22,15.017,15.12,14.884,14.987,112512,0
2010-02-23,14.916,14.971,14.696,14.829,124580,0
2010-02-24,14.821,15.161,14.751,15.064,59807,0
2010-02-25,14.892,15.161,14.689,15.144,50861,0
2010-02-26,15.111,15.237,14.791,14.994,75869,0
2010-03-01,15.041,15.411,15.017,15.307,76179,0
2010-03-02,15.283,15.458,15.041,15.411,74622,0
2010-03-03,15.42,15.535,15.168,15.443,92343,0
