Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,39.1,40.331,39.1,39.857,3541421,0
2010-01-05,39.934,41.775,39.672,40.915,8004862,0
2010-01-06,40.983,41.309,40.552,40.947,4537761,0
2010-01-07,40.86,40.947,39.698,40.147,4118392,0
2010-01-08,40.058,40.367,39.761,40.349,2863936,0
2010-01-11,40.429,40.905,40.105,40.392,3165959,0
2010-01-12,40.147,40.535,38.79,39.354,4736931,0
2010-01-13,39.453,40.095,38.783,40.033,3192333,0
2010-01-14,40.016,40.649,39.998,40.306,2382040,0
2010-01-15,40.299,40.367,38.186,38.729,5535728,0
2010-01-19,38.783,39.663,38.783,39.592,3253627,0
2010-01-20,39.25,39.319,38.111,38.976,4213727,0
2010-01-21,40.896,41.388,39.301,39.883,10662610,0
2010-01-22,39.582,39.582,35.841,35.878,12482275,0
2010-01-25,36.466,37.119,36.184,36.536,6122928,0
2010-01-26,36.527,36.723,35.779,35.983,5194254,0
2010-01-27,35.929,36.227,35.189,35.788,4292660,0
2010-01-28,35.954,35.954,34.378,34.767,5177909,0
2010-01-29,35.047,35.138,33.137,33.456,7024300,0
2010-02-01,33.71,35.03,33.631,34.961,5346595,0
2010-02-02,35.121,35.76,34.565,35.638,3979132,0
2010-02-03,35.426,36.036,35.276,35.657,2905813,0
2010-02-04,35.121,35.121,33.842,34.098,4137068,0
2010-02-05,34.08,34.881,33.606,34.721,6322605,0
2010-02-08,35.039,35.55,34.767,34.916,4178963,0
2010-02-09,35.585,35.983,35.057,35.558,5096870,0
2010-02-10,35.322,35.779,34.786,35.285,3115915,0
2010-02-11,35.366,35.693,34.852,35.481,4154121,0
2010-02-12,35.216,35.382,34.212,35.093,5487281,0
2010-02-16,35.506,37.514,35.399,37.496,8237006,0
2010-02-17,37.752,37.815,36.916,37.55,4669086,0
2010-02-18,37.373,38.271,36.943,38.218,4488515,0
2010-02-19,38.167,38.56,37.824,38,4360247,0
2010-02-22,38.102,38.287,37.232,37.31,4770322,0
2010-02-23,37.328,37.328,35.657,35.963,5842308,0
2010-02-24,36.16,36.51,34.194,34.336,12866599,0
2010-02-25,33.886,34.574,32.838,34.433,12061774,0
2010-02-26,34.484,34.484,33.782,34.018,5301691,0
2010-03-01,34.221,35.797,34.133,35.648,8421864,0
2010-03-02,35.869,35.936,34.776,34.881,6169537,0
2010-03-03,34.73,34.74,33.507,34.027,9996412,0
2010-03-04,34.072,34.767,33.597,34.721,6314606,0
2010-03-05,34.852,34.943,34.302,34.565,5111189,0
2010-03-08,34.583,35.066,34.133,34.872,5720790,0
2010-03-09,34.795,35.022,33.842,34.158,7839161,0
2010-03-10,34.31,34.474,33.429,33.525,8366473,0
2010-03-11,32.874,34.292,31.895,34.221,16479919,0
2010-03-12,34.212,34.264,33.226,33.797,7558550,0
2010-03-15,33.852,34.018,33.173,33.684,4787858,0
2010-03-16,33.675,34.054,33.323,33.973,5044228,0
2010-03-17,34.362,35.179,34.23,34.484,7381846,0
2010-03-18,34.662,34.715,34.184,34.352,3110748,0
2010-03-19,34.395,34.484,33.254,33.587,6136216,0
2010-03-22,33.533,35.954,33.421,35.788,10763838,0
2010-03-23,35.929,37.172,35.708,37.003,9754612,0
2010-03-24,36.994,37.336,36.554,36.714,5452312,0
2010-03-25,37.109,37.336,35.807,35.822,6515864,0
2010-03-26,35.481,35.604,34.362,34.828,10549082,0
2010-03-29,35.251,35.693,35.022,35.198,4980154,0
2010-03-30,35.382,35.382,34.174,34.652,6742881,0
2010-03-31,34.221,34.971,33.904,34.336,5024518,0
2010-04-01,34.73,35.047,33.947,34.352,4518263,0
2010-04-05,34.642,35.905,34.521,35.779,5335082,0
2010-04-06,35.463,36.308,35.34,36.151,4439594,0
2010-04-07,36.078,36.078,35.179,35.473,5609800,0
2010-04-08,35.305,35.807,34.852,35.525,3584493,0
2010-04-09,35.822,36.448,35.558,36.448,4129013,0
2010-04-12,36.757,37.196,35.885,36.176,5499573,0
2010-04-13,36.095,36.608,35.266,35.36,8416976,0
2010-04-14,35.638,37.196,35.594,36.501,10510563,0
2010-04-15,36.28,37.268,36.201,36.785,4919101,0
2010-04-16,36.43,37.066,35.226,35.611,7611453,0
2010-04-19,35.36,35.446,34.027,34.852,9966356,0
2010-04-20,35.161,35.725,34.795,35.417,5260352,0
2010-04-21,36.184,36.184,34.961,35.481,6953428,0
2010-04-22,35.189,35.999,34.31,35.822,10098425,0
2010-04-23,37.215,39.487,37.056,39.371,18346843,0
2010-04-26,39.276,39.706,38.747,38.844,6375875,0
2010-04-27,38.614,38.776,37.496,37.691,6108288,0
2010-04-28,38.148,38.218,37.187,37.655,6011419,0
2010-04-29,38.069,38.194,37.318,37.805,4413282,0
2010-04-30,37.883,37.883,36.104,36.184,5396981,0
2010-05-03,36.536,37.066,36.344,36.757,3326471,0
2010-05-04,36.219,36.308,35.233,35.693,5389027,0
2010-05-05,35.242,36.28,34.852,35.807,4484169,0
2010-05-06,35.542,35.752,31.059,34.125,8537564,0
2010-05-07,33.912,34.626,32.364,33.764,8917729,0
2010-05-10,35.666,36.28,34.828,35.179,6772463,0
2010-05-11,34.626,35.693,34.474,34.916,4259354,0
2010-05-12,35.206,35.895,35.179,35.742,2730082,0
2010-05-13,35.534,36.078,34.721,34.943,3126272,0
2010-05-14,34.626,34.626,33.137,33.957,5243693,0
2010-05-17,34.336,34.786,33.429,34.415,5076278,0
2010-05-18,34.749,34.891,32.142,32.345,10418914,0
2010-05-19,32.213,32.865,31.349,31.755,7798928,0
2010-05-20,30.91,31.844,30.434,31.024,7590045,0
2010-05-21,30.61,32.381,30.382,31.71,7410635,0
2010-05-24,31.755,32.177,31.269,31.305,4421455,0
2010-05-25,30.434,31.041,29.67,30.964,10340642,0
2010-05-26,31.385,31.895,29.959,30.257,11105618,0
2010-05-27,31.041,32.08,30.919,31.975,6304692,0
2010-05-28,31.966,31.992,30.224,30.653,7178193,0
2010-06-01,30.152,31.121,29.544,29.553,7625728,0
2010-06-02,29.808,31.077,29.765,31.033,7734726,0
2010-06-03,31.296,32.258,31.13,32.187,8576843,0
2010-06-04,31.357,31.58,30.118,30.312,9014311,0
2010-06-07,30.337,30.55,29.308,29.484,7045697,0
2010-06-08,29.059,29.703,28.612,29.494,7373033,0
2010-06-09,29.835,30.672,28.998,29.243,6955933,0
2010-06-10,30.039,30.162,29.429,30.029,5622475,0
2010-06-11,29.588,30.61,29.447,30.249,5480829,0
2010-06-14,30.672,31.05,30.232,30.249,5568894,0
2010-06-15,30.578,31.333,30.46,31.287,5018713,0
2010-06-16,30.928,31.278,30.75,31.007,4806081,0
2010-06-17,31.077,31.174,30.382,31.007,4112486,0
2010-06-18,31.05,31.182,30.663,30.83,3982947,0
2010-06-21,31.349,31.366,29.888,30.089,4848057,0
2010-06-22,29.986,30.504,29.252,29.308,5752117,0
2010-06-23,29.317,29.719,29.069,29.429,4551787,0
2010-06-24,29.298,29.298,27.509,27.705,8877649,0
2010-06-25,27.889,28.497,27.582,27.986,8649963,0
2010-06-28,28.029,28.15,27.651,27.915,7155065,0
2010-06-29,27.342,27.907,26.773,27.008,9156527,0
2010-06-30,26.832,27.273,26.437,26.56,7022755,0
2010-07-01,26.505,27.633,26.032,27.282,9076584,0
2010-07-02,27.546,27.555,26.472,26.594,5174264,0
2010-07-06,27.334,27.519,25.978,26.304,5515116,0
2010-07-07,26.331,27.546,26.251,27.546,6015950,0
2010-07-08,28.003,28.168,27.378,27.792,5541152,0
2010-07-09,27.881,28.62,27.441,27.819,4060304,0
2010-07-12,27.784,28.347,27.316,27.616,5113573,0
2010-07-13,28.093,28.364,27.491,28.215,6880771,0
2010-07-14,28.513,29.502,28.472,28.787,6802566,0
2010-07-15,28.707,28.928,28.242,28.822,5087312,0
2010-07-16,28.612,28.655,27.608,27.696,4723068,0
2010-07-19,27.924,28.129,27.441,27.934,2970205,0
2010-07-20,27.316,28.129,26.877,28.047,5391116,0
2010-07-21,28.196,28.304,26.372,26.577,9340422,0
2010-07-22,25.767,26.857,24.587,24.798,17950085,0
2010-07-23,25,25.035,23.884,24.674,14928836,0
2010-07-26,24.747,25.468,24.57,25.38,7715272,0
2010-07-27,25.494,25.671,25.099,25.307,8445082,0
2010-07-28,25.177,25.361,24.394,24.481,6512352,0
2010-07-29,24.857,24.857,23.626,23.749,9638179,0
2010-07-30,23.373,23.732,23.135,23.238,9234705,0
2010-08-02,23.592,24.218,23.292,23.909,7146380,0
2010-08-03,23.909,23.909,23.388,23.564,5051425,0
2010-08-04,23.556,24.015,23.338,23.857,6090006,0
2010-08-05,23.708,24.129,23.601,23.653,3857309,0
2010-08-06,23.378,23.617,22.896,23.063,7065267,0
2010-08-09,23.079,23.247,22.817,22.896,5766921,0
2010-08-10,22.605,22.632,21.46,21.494,11508818,0
2010-08-11,21.232,22.261,20.714,22.104,18078967,0
2010-08-12,21.857,22.851,21.285,21.346,10616786,0
2010-08-13,21.32,21.752,21.275,21.54,4773425,0
2010-08-16,21.4,21.988,21.195,21.82,6124387,0
2010-08-17,21.988,22.077,21.249,21.285,7269997,0
2010-08-18,21.275,21.698,21.249,21.417,5619726,0
2010-08-19,21.4,21.523,20.96,21.159,7163215,0
2010-08-20,21.275,21.919,21.224,21.715,8904516,0
2010-08-23,21.847,21.876,21.346,21.4,6542901,0
2010-08-24,21.137,21.249,20.844,20.904,6635533,0
2010-08-25,20.792,21.362,20.351,21.205,4867344,0
2010-08-26,21.242,21.329,20.714,20.801,4326929,0
2010-08-27,20.978,22.297,20.308,22.218,10310114,0
2010-08-30,22.182,22.376,21.77,21.788,10027614,0
2010-08-31,21.612,21.689,21.178,21.275,7546114,0
2010-09-01,21.979,23.197,21.979,22.595,7704702,0
2010-09-02,22.764,22.967,22.132,22.958,6078202,0
2010-09-03,23.32,23.653,23.044,23.415,4453267,0
2010-09-07,23.398,23.538,22.859,22.915,4472916,0
2010-09-08,22.553,23.17,22.069,23.044,8994897,0
2010-09-09,23.238,23.338,22.764,22.851,4231699,0
2010-09-10,22.878,22.878,22.246,22.587,4125207,0
2010-09-13,22.774,23.832,22.676,23.813,6754751,0
2010-09-14,23.708,24.101,23.301,23.503,6855987,0
2010-09-15,23.503,24.165,23.238,24.023,7078196,0
2010-09-16,23.749,24.015,23.388,23.708,4794627,0
2010-09-17,23.884,23.943,23.106,23.363,6241812,0
2010-09-20,23.378,24.182,23.256,24.11,5319629,0
2010-09-21,23.909,24.833,23.292,24.191,15138715,0
2010-09-22,24.084,24.147,23.203,23.494,7375428,0
2010-09-23,23.256,24.129,23.053,23.924,6622054,0
2010-09-24,24.305,24.842,24.092,24.833,6287626,0
2010-09-27,24.833,24.833,24.182,24.394,4487237,0
2010-09-28,24.481,24.481,23.635,24.437,7639298,0
2010-09-29,24.305,25.494,24.305,25.298,8046730,0
2010-09-30,25.512,25.512,24.683,25,7154100,0
2010-10-01,25.115,25.115,24.683,24.877,4741730,0
2010-10-04,24.773,24.966,24.287,24.63,4447561,0
2010-10-05,24.931,25.407,24.596,25.343,5583080,0
2010-10-06,25.212,25.458,24.402,24.57,8170298,0
2010-10-07,24.665,25.099,24.137,24.966,6903296,0
2010-10-08,25.389,25.802,25.186,25.45,8033473,0
2010-10-11,25.589,25.968,25.399,25.695,4402608,0
2010-10-12,25.678,26.233,25.415,25.908,5177419,0
2010-10-13,26.025,26.409,25.794,26.126,4537275,0
2010-10-14,26.1,26.409,25.898,25.968,5800290,0
2010-10-15,28.083,28.629,27.404,28.083,15170772,0
2010-10-18,28.357,28.409,26.991,27.713,8756227,0
2010-10-19,27.14,27.441,26.445,26.594,7781937,0
2010-10-20,25.704,27.387,25.704,26.857,12486004,0
2010-10-21,26.735,26.92,26.032,26.904,7795471,0
2010-10-22,26.956,26.972,26.594,26.798,4296762,0
2010-10-25,26.877,27.509,26.701,26.805,4022514,0
2010-10-26,26.682,27.509,26.542,27.256,4341869,0
2010-10-27,27.071,27.864,27.045,27.819,7215089,0
2010-10-28,28.762,28.762,27.563,27.737,11786357,0
2010-10-29,27.66,28.373,27.334,28.187,6884132,0
2010-11-01,28.347,28.884,28.187,28.726,6478814,0
2010-11-02,29.008,29.624,28.796,29.069,5113186,0
2010-11-03,29.243,29.588,28.646,29.308,5154483,0
2010-11-04,29.634,29.862,29.308,29.57,3610519,0
2010-11-05,29.783,30.635,29.703,30.61,6467959,0
2010-11-08,30.409,30.795,30.328,30.635,4028572,0
2010-11-09,30.663,30.882,30.249,30.443,6201801,0
2010-11-10,30.293,30.372,29.077,29.519,6792688,0
2010-11-11,28.973,29.298,28.443,29.05,5395731,0
2010-11-12,28.866,29.123,28.295,28.69,4085388,0
2010-11-15,29.018,29.05,28.121,28.178,3782038,0
2010-11-16,27.995,28.567,27.737,27.837,4670618,0
2010-11-17,27.837,28.178,27.432,27.633,3375828,0
2010-11-18,28.25,28.744,28.129,28.452,5807446,0
2010-11-19,28.735,30.152,28.735,29.922,7037589,0
2010-11-22,29.808,29.914,29.235,29.687,4113454,0
2010-11-23,29.289,29.56,28.894,29.026,3091919,0
2010-11-24,29.298,29.862,29.158,29.828,3772601,0
2010-11-26,29.588,30.089,29.484,29.728,1963866,0
2010-11-29,29.528,29.8,29.252,29.694,4072605,0
2010-11-30,29.352,29.898,29.176,29.502,6257400,0
2010-12-01,29.94,30.55,29.853,30.071,3724201,0
2010-12-02,29.976,30.708,29.976,30.511,4814180,0
2010-12-03,30.321,30.811,30.293,30.53,2777775,0
2010-12-06,30.53,30.593,30.24,30.337,2040521,0
2010-12-07,30.821,31.237,30.75,30.892,4925550,0
2010-12-08,30.91,30.956,30.265,30.839,3712343,0
2010-12-09,31.015,31.024,30.593,30.892,2220780,0
2010-12-10,30.882,31.561,30.821,31.423,2822279,0
2010-12-13,31.589,31.632,31.254,31.269,2277070,0
2010-12-14,31.245,31.262,30.354,30.485,2961810,0
2010-12-15,29.289,30.425,29.059,29.243,6710021,0
2010-12-16,29.228,29.394,28.84,29.096,3236841,0
