Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,29.024,29.913,28.966,29.561,192963,0
2010-01-05,29.645,29.766,28.718,28.986,177089,0
2010-01-06,28.903,29.024,28.512,28.775,203446,0
2010-01-07,28.875,29.339,28.587,29.235,199263,0
2010-01-08,29.034,29.96,28.922,29.766,239754,0
2010-01-11,29.795,30.054,29.524,29.941,177298,0
2010-01-12,29.756,30.016,29.534,29.71,151024,0
2010-01-13,29.766,29.931,29.635,29.876,148335,0
2010-01-14,29.664,29.842,29.385,29.766,164203,0
2010-01-15,29.805,30.054,29.664,29.969,288121,0
2010-01-19,29.997,30.574,29.903,30.492,155449,0
2010-01-20,30.167,30.435,29.543,29.834,164668,0
2010-01-21,29.795,30.186,29.291,29.432,215006,0
2010-01-22,29.376,29.96,29.005,29.034,187303,0
2010-01-25,29.255,29.255,28.465,28.775,175315,0
2010-01-26,28.671,28.718,28.021,28.05,285443,0
2010-01-27,27.853,28.282,27.706,28.15,210488,0
2010-01-28,28.291,28.291,27.196,27.482,144135,0
2010-01-29,27.67,27.844,26.833,26.852,213076,0
2010-02-01,26.88,27.252,26.573,26.999,141175,0
2010-02-02,26.945,27.416,26.927,27.1,161130,0
2010-02-03,27.065,27.325,26.684,26.909,123268,0
2010-02-04,26.684,26.805,26.276,26.359,240125,0
2010-02-05,26.35,26.582,25.794,26.435,206519,0
2010-02-08,26.369,26.369,25.858,25.95,200593,0
2010-02-09,26.191,26.664,26.026,26.453,195291,0
2010-02-10,26.295,26.435,25.886,26.109,183956,0
2010-02-11,25.979,26.48,25.607,26.416,133231,0
2010-02-12,26.138,26.444,25.673,26.444,301831,0
2010-02-16,26.63,26.796,26.379,26.796,156824,0
2010-02-17,27.723,27.873,26.927,27.272,290216,0
2010-02-18,27.243,27.577,26.712,27.568,210549,0
2010-02-19,27.491,27.777,27.177,27.519,147049,0
2010-02-22,27.548,27.614,27.325,27.568,85181,0
2010-02-23,27.595,27.769,27.026,27.316,137197,0
2010-02-24,27.335,27.444,27.055,27.281,106638,0
2010-02-25,26.833,27.223,26.721,27.214,88068,0
2010-02-26,27.148,27.29,26.786,27.065,149559,0
2010-03-01,27.12,27.67,26.937,27.577,197677,0
2010-03-02,27.568,28.206,27.491,27.863,203444,0
2010-03-03,27.863,28.215,27.777,27.891,325115,0
