Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,298.05,306.81,298.05,303.66,116790,0
2010-01-05,294.24,301.45,293.95,301.2,130915,0
2010-01-06,299.14,303.52,297.22,302.01,126101,0
2010-01-07,300.51,301.45,287.8,292.72,147279,0
2010-01-08,292.32,296.55,286.71,296.55,108163,0
2010-01-11,298.74,300.79,282.48,284.11,79876,0
2010-01-12,278.25,278.25,264.43,271.27,189071,0
2010-01-13,270.58,274.54,264.16,273.03,139037,0
2010-01-14,274.39,277.26,266.62,271.81,92048,0
2010-01-15,268.81,274.14,265.8,267.84,137533,0
2010-01-19,267.3,276.04,266.47,275.23,102259,0
2010-01-20,271.27,273.6,268.39,269.91,98273,0
2010-01-21,272.08,276.73,265.39,267.58,131096,0
2010-01-22,274.39,277.83,261.69,262.66,215392,0
2010-01-25,267.84,272.37,263.34,267.99,143996,0
2010-01-26,263.19,264.43,255.81,256.38,163601,0
2010-01-27,254.73,259.8,252.96,254.44,220092,0
2010-01-28,257.74,258.96,248.17,250.9,127879,0
2010-01-29,252.82,259.51,235.74,239.7,222233,0
2010-02-01,243.81,251.17,241.33,251.17,175797,0
2010-02-02,253.23,258.96,248.46,258.28,112709,0
2010-02-03,254.59,259.11,251.46,253.9,83035,0
2010-02-04,248.85,249.12,233.82,234.51,158632,0
2010-02-05,236.26,239.41,225.48,233.26,217735,0
2010-02-08,234.91,248.98,231.76,245.44,278881,0
2010-02-09,254.73,258.28,244.89,252.4,296249,0
2010-02-10,253.09,258.96,245.31,255.13,143302,0
2010-02-11,256.23,266.2,252.54,265.39,242138,0
2010-02-12,259.66,272.37,256.51,270.99,230111,0
2010-02-16,276.6,286.57,276.6,284.94,195703,0
2010-02-17,285.75,288.9,277.83,281.38,122781,0
2010-02-18,279.88,281.38,276.87,280.56,112082,0
2010-02-19,277.41,280.56,276.46,277.96,139127,0
2010-02-22,279.88,279.88,268.26,269.49,196328,0
2010-02-23,266.62,269.22,253.5,254.05,254750,0
2010-02-24,266.08,267.43,256.38,263.47,312170,0
2010-02-25,256.65,262.8,251.46,262.39,174660,0
2010-02-26,261.97,263.05,256.09,258.42,142824,0
2010-03-01,262.24,264.03,257.88,263.47,183526,0
2010-03-02,266.47,269.76,264.7,266.62,165329,0
2010-03-03,266.2,270.99,264.7,266.08,130404,0
2010-03-04,265.68,269.34,254.05,254.44,230887,0
2010-03-05,256.51,262.66,255.55,261.97,158719,0
2010-03-08,263.05,263.34,257.05,262.53,194061,0
2010-03-09,261.03,265.93,258.67,263.19,96406,0
2010-03-10,262.93,269.91,261.55,266.76,120636,0
2010-03-11,266.34,267.84,260.19,262.66,133749,0
2010-03-12,265.68,268.26,263.74,268.26,100570,0
2010-03-15,267.84,267.84,259.92,264.84,100260,0
2010-03-16,265.26,268.39,262.53,265.39,143845,0
2010-03-17,265.39,267.43,261.97,263.05,174544,0
2010-03-18,261.55,262.8,248.04,248.98,189987,0
2010-03-19,248.71,250.77,240.93,243.52,240693,0
