Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,5.34,5.64,5.34,5.64,130291,0
2010-01-05,5.64,5.64,5.46,5.46,121954,0
2010-01-06,5.4,5.58,5.4,5.52,104781,0
2010-01-07,5.61,5.61,5.4,5.52,78532,0
2010-01-08,5.49,5.52,5.34,5.46,98832,0
2010-01-11,5.43,5.82,5.37,5.73,213828,0
2010-01-12,5.73,6.09,5.58,5.79,464778,0
2010-01-13,6,6.06,5.46,6.06,356261,0
2010-01-14,6.15,6.15,5.88,6,273086,0
2010-01-15,6,6.09,5.61,5.82,231396,0
2010-01-19,5.58,7.32,5.58,7.08,1834154,0
2010-01-20,7.11,7.26,6.48,7.05,608963,0
2010-01-21,7.02,7.47,6.9,7.47,686271,0
2010-01-22,7.32,7.44,6.99,7.26,757660,0
2010-01-25,7.35,7.35,7.17,7.2,351842,0
2010-01-26,7.14,7.89,7.11,7.68,798734,0
2010-01-27,7.68,8.16,7.53,7.89,608619,0
2010-01-28,8.01,8.31,7.83,7.95,862220,0
2010-01-29,7.98,8.58,7.02,7.53,1070360,0
2010-02-01,7.2,7.65,6.99,7.29,499222,0
2010-02-02,7.35,7.62,7.05,7.11,235781,0
2010-02-03,7.08,7.35,7.08,7.32,262186,0
2010-02-04,7.2,7.23,6.78,6.81,364072,0
2010-02-05,6.78,6.99,6.27,6.72,383605,0
2010-02-08,6.66,7.26,6.66,7.02,147576,0
2010-02-09,7.14,7.35,7.11,7.26,162816,0
2010-02-10,7.26,7.26,7.02,7.02,130830,0
2010-02-11,7.14,7.29,6.96,7.08,174693,0
2010-02-12,6.9,7.32,6.84,7.32,216194,0
2010-02-16,7.35,7.65,7.32,7.65,187261,0
2010-02-17,7.8,8.04,7.74,7.98,269652,0
2010-02-18,8.1,8.1,7.02,7.47,380794,0
2010-02-19,7.47,7.56,7.32,7.35,200007,0
2010-02-22,7.44,7.86,7.44,7.77,437953,0
2010-02-23,7.89,8.22,7.86,8.16,466247,0
2010-02-24,8.22,8.4,7.47,8.16,533289,0
2010-02-25,8.25,9.55,7.65,9.21,1327589,0
2010-02-26,9.33,9.75,8.85,9.33,709183,0
2010-03-01,9.27,9.6,9.09,9.24,653974,0
2010-03-02,8.7,8.97,8.1,8.97,1236120,0
2010-03-03,9,9.6,8.91,9,2759594,0
2010-03-04,9.21,9.24,9,9,784257,0
2010-03-05,9.18,9.51,9.06,9.3,495054,0
2010-03-08,9.42,9.51,9.12,9.36,345012,0
2010-03-09,9.42,9.48,9.18,9.18,267016,0
2010-03-10,9.24,9.3,8.67,9.15,616127,0
2010-03-11,9,9.12,8.94,9.03,554644,0
2010-03-12,9.45,9.6,9.15,9.15,420302,0
2010-03-15,9.12,9.3,8.94,9.06,373471,0
2010-03-16,9.03,9.24,8.97,9,267439,0
2010-03-17,8.94,9.03,8.76,8.91,408372,0
2010-03-18,8.91,9.03,8.76,8.76,334190,0
2010-03-19,8.73,9,7.65,8.7,930652,0
2010-03-22,8.58,8.97,8.1,8.91,364718,0
2010-03-23,8.94,9.24,8.91,9,389076,0
2010-03-24,9,9.09,8.7,8.88,347825,0
2010-03-25,8.88,9.33,8.79,9.12,657325,0
2010-03-26,9.06,9.18,8.76,8.76,358679,0
2010-03-29,8.82,9,8.49,8.73,264556,0
2010-03-30,8.76,9,8.61,8.82,249447,0
2010-03-31,8.67,9.42,8.67,9.03,594815,0
2010-04-01,9.15,9.45,8.94,9.21,316758,0
2010-04-05,9.24,9.36,9,9.33,238663,0
2010-04-06,9.36,9.39,8.97,9.18,344140,0
2010-04-07,9.06,9.48,9.06,9.42,409767,0
2010-04-08,9.3,9.42,9.03,9.33,393258,0
2010-04-09,9.3,10.26,9.27,9.99,1012670,0
2010-04-12,10.08,10.47,9.6,10.11,560121,0
2010-04-13,10.23,11.01,9.9,10.86,646796,0
2010-04-14,10.86,11.34,10.8,11.1,753339,0
2010-04-15,11.13,11.17,10.56,10.8,521200,0
2010-04-16,10.68,10.71,9.93,10.29,722494,0
2010-04-19,10.08,10.41,10.05,10.29,567645,0
2010-04-20,10.26,10.47,10.14,10.44,197593,0
2010-04-21,10.41,10.62,9.69,9.81,330110,0
2010-04-22,9.81,10.95,9.81,10.86,630999,0
2010-04-23,10.92,11.25,10.35,10.62,489016,0
2010-04-26,10.71,10.71,10.38,10.47,225025,0
2010-04-27,10.5,10.62,10.08,10.41,257223,0
2010-04-28,10.41,10.56,9.93,10.47,301262,0
2010-04-29,10.59,10.89,10.47,10.8,345887,0
2010-04-30,10.89,10.95,10.17,10.23,309135,0
2010-05-03,10.46,11.04,10.32,11.01,320983,0
2010-05-04,10.62,10.76,10.2,10.47,402461,0
2010-05-05,9.69,10.29,8.43,9.9,802992,0
2010-05-06,9.87,9.9,8.25,9.39,646611,0
2010-05-07,9.33,9.75,8.46,8.76,740261,0
2010-05-10,9.36,9.69,9.18,9.6,459606,0
2010-05-11,9.57,9.72,8.94,9.06,451806,0
2010-05-12,9.06,9.57,9.06,9.45,370417,0
2010-05-13,9.48,9.69,9.12,9.12,464673,0
2010-05-14,9.09,9.09,8.64,8.82,420869,0
2010-05-17,8.97,9.06,8.58,8.73,464474,0
2010-05-18,8.85,9,8.34,8.58,337879,0
2010-05-19,8.43,8.55,7.86,8.34,516224,0
2010-05-20,8.04,8.04,7.47,7.68,888025,0
2010-05-21,7.38,8.34,7.26,8.1,1049604,0
2010-05-24,7.95,8.82,7.89,8.49,661656,0
2010-05-25,8.07,9.12,7.68,9.03,548813,0
2010-05-26,9.63,10.2,9.15,9.75,1081238,0
2010-05-27,9.9,10.02,9.63,9.78,780217,0
2010-05-28,9.78,10.47,9.54,10.38,991058,0
2010-06-01,10.32,10.74,9.48,9.81,503319,0
2010-06-02,9.84,10.14,9.48,10.05,509248,0
2010-06-03,9.96,10.23,9.75,10.23,345561,0
2010-06-04,9.96,10.02,9.09,9.39,493073,0
2010-06-07,9.6,9.6,8.46,8.67,606390,0
2010-06-08,8.76,8.76,7.92,8.28,468416,0
2010-06-09,8.31,8.7,7.98,7.98,250973,0
2010-06-10,8.4,8.61,8.16,8.61,373364,0
2010-06-11,8.34,9.12,8.19,9.12,319233,0
2010-06-14,9.27,9.45,8.85,9,305576,0
2010-06-15,9.06,9.42,8.64,9.36,754522,0
2010-06-16,9.36,9.72,9.21,9.63,396876,0
2010-06-17,9.75,10.08,9.42,9.96,542278,0
2010-06-18,9.96,10.2,9.84,10.2,353990,0
2010-06-21,10.32,10.35,9.66,9.99,567972,0
2010-06-22,9.99,10.23,9.6,9.6,369378,0
2010-06-23,9.66,9.9,9.12,9.75,518099,0
2010-06-24,9.6,9.78,9.03,9.12,492440,0
2010-06-25,9.09,9.39,8.64,9.27,7998932,0
2010-06-28,8.97,9.75,8.94,9.69,830124,0
2010-06-29,9.45,9.45,8.79,8.85,747600,0
2010-06-30,8.85,9.12,8.43,8.49,380065,0
2010-07-01,8.49,8.52,7.77,8.07,797305,0
2010-07-02,8.28,8.37,7.89,8.07,283349,0
2010-07-06,8.1,8.64,7.65,7.77,537027,0
2010-07-07,7.83,8.4,7.71,8.4,486701,0
2010-07-08,8.46,8.91,8.46,8.79,473553,0
2010-07-09,8.7,9.03,8.67,9.03,318119,0
2010-07-12,9,9.27,8.61,8.94,276523,0
2010-07-13,9.03,9.42,8.97,9.3,405315,0
2010-07-14,9.33,9.54,9.03,9.12,469477,0
2010-07-15,9.24,9.27,8.49,8.55,336536,0
2010-07-16,8.82,8.82,7.95,8.1,526332,0
2010-07-19,8.25,8.4,7.95,8.16,407756,0
2010-07-20,8.01,8.31,7.95,8.31,299177,0
2010-07-21,8.55,8.64,7.98,8.01,446926,0
2010-07-22,8.19,8.31,8.01,8.19,390012,0
2010-07-23,8.13,8.43,8.13,8.43,318549,0
2010-07-26,8.49,8.7,8.34,8.49,260319,0
2010-07-27,8.64,9.03,8.58,8.97,509924,0
2010-07-28,8.91,8.94,8.7,8.73,239703,0
2010-07-29,8.91,8.94,8.61,8.61,452968,0
2010-07-30,8.55,8.58,8.34,8.4,264154,0
2010-08-02,8.7,8.82,8.46,8.58,202933,0
2010-08-03,8.55,8.73,8.46,8.46,208438,0
2010-08-04,8.58,8.64,8.28,8.55,233483,0
2010-08-05,8.4,8.58,8.28,8.28,219681,0
2010-08-06,8.25,8.37,7.8,7.89,506352,0
2010-08-09,8.01,8.04,7.8,7.86,259016,0
2010-08-10,7.77,7.77,7.26,7.29,688293,0
2010-08-11,7.11,7.11,6.21,6.57,1441633,0
2010-08-12,6.42,6.66,6.24,6.36,1098217,0
2010-08-13,6.36,6.66,6.27,6.45,648685,0
2010-08-16,6.39,6.53,6.3,6.33,269039,0
2010-08-17,6.48,6.54,6.09,6.12,703241,0
2010-08-18,6.12,6.66,5.76,6.63,1002209,0
2010-08-19,6.69,7.11,6.48,6.81,565015,0
2010-08-20,6.72,7.11,6.69,7.02,617715,0
2010-08-23,7.08,7.2,6.66,6.71,465308,0
2010-08-24,6.57,6.6,6.15,6.3,467774,0
2010-08-25,6.27,6.42,6.18,6.42,424391,0
2010-08-26,6.48,6.54,6.06,6.15,432582,0
2010-08-27,6.24,6.51,6.21,6.48,327489,0
2010-08-30,6.48,6.84,6.42,6.69,519514,0
2010-08-31,6.72,6.9,6.42,6.45,1204580,0
2010-09-01,6.45,6.63,6,6.15,1468508,0
2010-09-02,6.15,6.3,6,6.09,353517,0
2010-09-03,6.21,6.3,6.09,6.24,508020,0
2010-09-07,6.27,6.3,5.46,5.55,1182179,0
2010-09-08,5.55,5.7,5.31,5.55,931744,0
2010-09-09,5.67,5.67,5.01,5.25,792816,0
2010-09-10,5.25,5.37,4.98,5.01,651823,0
2010-09-13,5.16,5.4,5.13,5.25,614488,0
2010-09-14,5.31,5.52,5.19,5.31,343399,0
2010-09-15,5.25,5.31,5.1,5.22,330367,0
2010-09-16,5.19,5.28,5.1,5.22,864140,0
2010-09-17,5.31,5.46,5.1,5.28,1158244,0
2010-09-20,5.28,5.7,5.25,5.7,861293,0
2010-09-21,5.7,5.73,5.4,5.55,427069,0
2010-09-22,5.49,5.52,5.34,5.37,262070,0
2010-09-23,5.31,5.4,5.22,5.31,269633,0
2010-09-24,5.37,5.7,5.37,5.67,623492,0
2010-09-27,5.7,5.94,5.55,5.88,397887,0
2010-09-28,5.88,6.09,5.76,5.97,614176,0
2010-09-29,5.97,6.33,5.97,6.33,953895,0
2010-09-30,6.51,6.66,6.21,6.27,621127,0
2010-10-01,6.72,6.72,6.07,6.41,188574,0
2010-10-04,6.4,6.46,5.81,6.12,355695,0
2010-10-05,6.17,6.35,6.06,6.3,422774,0
2010-10-06,6.28,6.4,6.08,6.31,475425,0
2010-10-07,6.37,6.64,6.18,6.61,794583,0
2010-10-08,6.49,6.53,6.08,6.11,977392,0
2010-10-11,6.09,6.21,5.83,6.12,492115,0
2010-10-12,6.09,6.3,6.02,6.26,378858,0
2010-10-13,6.28,6.35,6.15,6.18,454791,0
2010-10-14,6.2,6.23,6.02,6.11,345895,0
2010-10-15,6.19,6.21,6.02,6.13,543751,0
2010-10-18,6.17,6.35,6.11,6.32,395985,0
2010-10-19,6.2,6.34,6.03,6.1,319828,0
2010-10-20,6.15,6.28,6.06,6.14,214675,0
2010-10-21,6.15,6.17,5.87,5.95,462948,0
2010-10-22,6,6.05,5.91,6.05,301170,0
2010-10-25,6.19,6.47,6.15,6.43,871338,0
2010-10-26,6.35,6.62,6.29,6.56,471796,0
2010-10-27,6.5,6.64,6.5,6.62,294891,0
2010-10-28,6.58,6.58,6.12,6.29,611891,0
2010-10-29,6.29,6.39,6.19,6.32,274521,0
2010-11-01,6.35,6.42,5.96,6.05,408095,0
2010-11-02,6.13,6.28,6.05,6.28,427755,0
2010-11-03,6.28,6.37,6.16,6.32,165231,0
2010-11-04,6.44,6.5,6.34,6.49,456727,0
2010-11-05,6.5,6.62,6.5,6.59,205568,0
