Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.623,16.623,16.358,16.388,3434624,0
2010-01-05,16.072,16.33,15.868,16.196,5558119,0
2010-01-06,16.196,16.295,16.124,16.225,2783879,0
2010-01-07,16.173,16.202,16.047,16.155,3912526,0
2010-01-08,16.14,16.182,16.007,16.164,2056729,0
2010-01-11,16.256,16.396,16.164,16.322,2915169,0
2010-01-12,16.28,16.531,16.219,16.514,4477621,0
2010-01-13,16.547,16.811,16.538,16.77,4422388,0
2010-01-14,16.833,16.841,16.685,16.803,2930423,0
2010-01-15,16.745,16.745,16.555,16.646,4179726,0
2010-01-19,16.67,16.795,16.568,16.795,2119146,0
2010-01-20,16.762,16.803,16.505,16.745,3512635,0
2010-01-21,16.786,16.918,16.514,16.614,5715850,0
2010-01-22,16.585,16.661,16.202,16.202,4305977,0
2010-01-25,16.264,16.33,16.072,16.164,2709337,0
2010-01-26,16.088,16.264,16.038,16.173,3512419,0
2010-01-27,16.116,16.322,15.995,16.28,4997813,0
2010-01-28,16.404,16.404,16.109,16.219,3675833,0
2010-01-29,16.225,16.288,16.08,16.155,5093552,0
2010-02-01,16.189,16.256,16.03,16.211,3003385,0
2010-02-02,16.14,16.461,16.072,16.461,3217712,0
2010-02-03,16.379,16.454,16.233,16.264,2841568,0
2010-02-04,16.202,16.219,15.727,15.727,5192497,0
2010-02-05,15.698,15.727,15.441,15.65,6174851,0
2010-02-08,15.667,15.751,15.564,15.58,4211302,0
2010-02-09,15.642,15.868,15.613,15.706,4248956,0
2010-02-10,15.698,15.736,15.441,15.598,4507497,0
2010-02-11,15.613,15.8,15.409,15.776,4078088,0
2010-02-12,15.642,15.745,15.557,15.727,3870698,0
2010-02-16,15.792,16.03,15.792,16.015,1982800,0
2010-02-17,16.047,16.14,15.914,15.978,2878797,0
2010-02-18,15.986,16.211,15.962,16.202,2941234,0
2010-02-19,16.173,16.439,16.109,16.388,2492609,0
2010-02-22,16.454,16.48,16.33,16.358,2689018,0
2010-02-23,16.33,16.439,16.233,16.313,4052461,0
2010-02-24,16.313,16.431,16.116,16.349,3738903,0
2010-02-25,16.189,16.366,16.095,16.304,3998334,0
