Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,55.622,56.06,55.191,55.968,34357790,0
2010-01-05,56.002,56.21,55.687,56.188,37279600,0
2010-01-06,56.21,57.144,56.124,56.675,43297057,0
2010-01-07,56.577,56.707,56.188,56.497,33568763,0
2010-01-08,56.407,56.455,56.027,56.27,30749367,0
2010-01-11,56.61,57.077,56.376,56.9,37894262,0
2010-01-12,56.431,56.648,56.27,56.617,38907505,0
2010-01-13,56.625,56.69,56.06,56.39,30744394,0
2010-01-14,56.286,56.447,56.133,56.398,23017868,0
2010-01-15,56.376,56.407,55.563,55.938,36218915,0
2010-01-19,55.639,56.133,55.377,56.068,32004568,0
2010-01-20,55.491,55.572,54.983,55.062,42783606,0
2010-01-21,55.136,55.16,53.825,53.986,48311649,0
2010-01-22,53.913,54.344,53.422,53.501,48265766,0
2010-01-25,53.865,54.034,53.169,53.3,36184096,0
2010-01-26,53.127,54.019,53.014,53.356,42109018,0
2010-01-27,53.144,53.469,52.61,53.047,44133909,0
2010-01-28,53.3,53.3,52.261,52.577,46122636,0
2010-01-29,52.733,53.273,51.817,52.148,50463164,0
2010-02-01,53.233,53.751,52.892,53.568,46530445,0
2010-02-02,54.012,54.328,53.8,54.196,42078128,0
2010-02-03,54.132,54.415,53.873,53.906,29680894,0
2010-02-04,53.637,53.703,52.352,52.383,41828801,0
2010-02-05,52.367,52.53,51.445,52.449,52255263,0
2010-02-08,52.539,53.005,52.078,52.085,37657960,0
2010-02-09,52.699,53.187,52.253,52.774,44777732,0
2010-02-10,52.675,52.789,51.93,52.491,26806748,0
2010-02-11,52.359,52.999,52.133,52.804,29099925,0
2010-02-12,52.303,52.724,52.027,52.449,37850657,0
2010-02-16,52.969,53.73,52.675,53.645,37690241,0
2010-02-17,53.694,53.784,53.074,53.225,26935683,0
2010-02-18,53.257,53.492,52.892,53.387,27839970,0
2010-02-19,53.105,53.615,52.96,53.316,29978264,0
2010-02-22,53.501,53.517,52.812,52.933,25270832,0
2010-02-23,52.82,53.065,51.922,52.564,41231468,0
2010-02-24,52.618,53.316,52.426,53.055,26524294,0
2010-02-25,52.295,52.748,52.102,52.724,31713455,0
2010-02-26,52.829,52.933,52.547,52.61,24843361,0
2010-03-01,52.9,53.047,52.684,52.933,23195430,0
2010-03-02,53.144,53.25,52.733,53.005,30669163,0
2010-03-03,53.233,53.395,52.916,52.96,27513350,0
2010-03-04,52.892,53.119,52.675,52.933,27131213,0
2010-03-05,53.387,53.843,53.241,53.8,33157983,0
2010-03-08,54.044,54.06,53.608,53.808,25073232,0
2010-03-09,53.687,54.382,53.598,54.051,35813125,0
2010-03-10,54.36,54.569,54.051,54.406,30646619,0
2010-03-11,54.545,54.683,54.214,54.406,23925670,0
2010-03-12,54.699,54.699,53.825,54.067,28858247,0
2010-03-15,53.963,53.978,53.34,53.663,27267195,0
2010-03-16,53.865,53.972,53.422,53.881,43372008,0
2010-03-17,54.156,54.869,54.067,54.522,47902409,0
2010-03-18,54.636,54.828,54.238,54.545,32030994,0
2010-03-19,54.911,54.948,53.767,54.262,56289050,0
2010-03-22,53.816,54.392,53.68,54.205,26430977,0
2010-03-23,54.18,54.214,53.784,54.188,30570497,0
2010-03-24,53.881,54.117,53.608,53.825,24404587,0
2010-03-25,54.076,54.165,53.615,53.663,26063396,0
2010-03-26,53.776,54.132,53.558,53.858,37748414,0
2010-03-29,53.954,54.618,53.897,54.472,32273299,0
2010-03-30,54.382,54.472,54.06,54.271,21920014,0
