Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,28.906,29.65,28.669,29.211,3980408,0
2010-01-05,29.211,29.278,28.973,29.244,2534673,0
2010-01-06,29.244,29.345,28.906,28.973,2050853,0
2010-01-07,28.872,29.176,28.803,29.109,3509899,0
2010-01-08,29.041,29.244,28.803,29.009,1915202,0
2010-01-11,29.176,29.922,29.009,29.718,4106773,0
2010-01-12,29.379,30.158,29.379,29.954,5526364,0
2010-01-13,30.056,30.362,29.82,30.293,3284556,0
2010-01-14,30.158,30.464,29.954,30.091,2732754,0
2010-01-15,29.954,30.091,29.75,29.922,3405623,0
2010-01-19,29.887,30.599,29.75,30.532,5277485,0
2010-01-20,30.191,30.293,29.55,30.091,6141308,0
2010-01-21,30.971,32.087,30.903,31.411,13070434,0
2010-01-22,31.206,31.377,30.158,30.362,6460310,0
2010-01-25,30.564,30.836,29.99,30.091,4333562,0
2010-01-26,30.023,30.26,29.514,29.99,3207237,0
2010-01-27,29.887,30.158,29.481,30.091,5412574,0
2010-01-28,30.056,30.293,29.718,29.853,5334243,0
2010-01-29,30.124,30.158,29.481,29.514,6595580,0
2010-02-01,29.616,30.362,29.55,30.362,4260337,0
2010-02-02,30.396,31.004,30.226,30.903,7270902,0
2010-02-03,30.768,31.039,30.362,30.428,3876933,0
2010-02-04,30.396,30.599,29.211,29.278,7338540,0
2010-02-05,28.94,29.109,28.262,28.669,10757930,0
2010-02-08,28.398,28.803,27.925,28.601,3783593,0
2010-02-09,28.872,28.94,27.756,28.363,7873430,0
2010-02-10,28.398,28.906,28.33,28.601,3161106,0
2010-02-11,28.669,29.82,28.432,29.65,6850305,0
2010-02-12,29.109,30.056,28.906,29.685,3996678,0
2010-02-16,29.448,30.124,29.414,29.99,2930638,0
2010-02-17,30.124,30.564,29.786,30.191,4049968,0
2010-02-18,30.226,31.105,30.023,31.039,5313010,0
2010-02-19,30.836,31.377,30.768,31.14,4246651,0
2010-02-22,31.478,31.512,31.105,31.276,3703118,0
2010-02-23,31.206,31.24,30.599,30.801,2347990,0
2010-02-24,31.004,31.341,30.768,31.31,3126517,0
2010-02-25,30.868,31.512,30.801,31.445,3466998,0
2010-02-26,31.445,31.816,31.174,31.716,3252153,0
2010-03-01,31.748,32.426,31.748,32.325,3701478,0
2010-03-02,32.29,32.494,31.952,32.155,3420971,0
2010-03-03,32.494,32.831,32.155,32.224,2998898,0
2010-03-04,32.528,32.629,31.816,32.29,4580124,0
2010-03-05,32.561,33.508,32.426,33.407,4098792,0
2010-03-08,33.508,34.083,33.442,33.543,4086305,0
2010-03-09,32.831,33.442,32.729,32.968,2717841,0
2010-03-10,33.103,33.407,32.798,33.341,3641129,0
2010-03-11,33.136,33.847,33.035,33.847,3862475,0
2010-03-12,33.847,33.847,33.205,33.476,4104074,0
2010-03-15,33.341,34.018,33.272,33.914,4264075,0
2010-03-16,34.22,34.422,33.882,34.153,3789550,0
2010-03-17,34.22,34.254,33.341,33.508,5362892,0
2010-03-18,33.611,33.611,33,33.373,3575967,0
2010-03-19,33.543,33.644,32.224,32.392,5260489,0
2010-03-22,32.188,33.476,31.986,33.407,4215876,0
2010-03-23,33.577,34.254,33.136,34.22,4409968,0
2010-03-24,33.983,34.051,33.341,33.373,2603654,0
2010-03-25,33.611,33.814,32.561,32.561,3784646,0
2010-03-26,32.729,33.306,32.629,32.831,2138048,0
2010-03-29,32.663,33,32.595,32.933,2086813,0
2010-03-30,32.663,33.069,32.595,32.798,1845571,0
2010-03-31,32.831,33.103,32.494,33,3436131,0
2010-04-01,33.205,33.847,33.103,33.814,3012665,0
2010-04-05,33.847,35.203,33.508,35.133,5142936,0
2010-04-06,35.067,35.104,34.454,34.762,3469965,0
2010-04-07,34.49,34.832,33.847,34.39,3705625,0
2010-04-08,34.185,35.301,33.644,35.27,4401678,0
2010-04-09,35.27,35.54,34.999,35.333,4320709,0
2010-04-12,35.574,35.707,35.237,35.508,2331487,0
2010-04-13,35.167,35.54,35.133,35.37,5562067,0
2010-04-14,35.237,35.946,35.133,35.707,3713761,0
2010-04-15,35.707,35.707,35.203,35.508,3820576,0
2010-04-16,35.301,35.676,34.762,34.931,4638060,0
2010-04-19,34.795,36.447,34.454,36.247,7357470,0
2010-04-20,36.247,37.434,35.744,36.35,5753304,0
2010-04-21,36.557,36.861,35.707,35.876,4020859,0
2010-04-22,35.508,35.774,34.559,35.37,4144064,0
2010-04-23,38.261,39.682,36.483,38.32,23424483,0
2010-04-26,37.671,38.859,37.671,38.414,0,0
2010-04-27,38.28,38.28,36.483,36.591,7373234,0
2010-04-28,36.829,37.977,36.388,37.576,7012125,0
2010-04-29,38.076,38.151,37.197,37.977,5483972,0
2010-04-30,37.977,38.076,36.694,36.895,5593878,0
2010-05-03,37.197,37.705,36.591,37.403,4279388,0
2010-05-04,36.388,36.447,35.27,35.876,5827810,0
